Place,Competitor,DOB,Nat,Score,Event List,Age,Thrower Class,Gender
85,Sophia RIVERA,17 OCT 1998,PUR,999,Javelin Throw,24.0,1st Class,Female
86,Lisanne SCHOL,22 JUN 1991,NED,998,Javelin Throw,31.0,1st Class,Female
87,Sara ZABARINO,01 AUG 1999,ITA,997,Javelin Throw,23.0,1st Class,Female
88,Petra SIČAKOVÁ,14 APR 2003,CZE,996,Javelin Throw,20.0,1st Class,Female
89,Yuliya MAKEYEVA,05 NOV 2000,BLR,996,Javelin Throw,22.0,1st Class,Female
90,Indré JAKUBAITYTĖ,24 JAN 1976,LTU,994,Javelin Throw,47.0,1st Class,Female
91,Rebekah WALES,02 OCT 1995,USA,994,Javelin Throw,27.0,1st Class,Female
92,Claudia FERREIRA,03 OCT 1998,POR,993,Javelin Throw,24.0,1st Class,Female
93,Qianqian DAI,23 AUG 2000,CHN,993,Javelin Throw,22.0,1st Class,Female
94,Qiaohui GE,22 DEC 2000,CHN,993,Javelin Throw,22.0,1st Class,Female
95,Mayya BOGATYROVA,30 MAY 2000,RUS,992,Javelin Throw,22.0,1st Class,Female
96,Saara LIPSANEN,13 SEP 1995,FIN,992,Javelin Throw,27.0,1st Class,Female
97,Jatta-Mari JÄÄSKELÄINEN,27 FEB 1994,FIN,992,Javelin Throw,29.0,1st Class,Female
98,Lucija CVITANOVIĆ,17 SEP 1991,CRO,991,Javelin Throw,31.0,1st Class,Female
99,Laila FERRER,30 JUL 1982,BRA,990,Javelin Throw,40.0,1st Class,Female
100,Musharaf SAIDAKHMEDOVA,03 APR 1995,UZB,988,Javelin Throw,28.0,1st Class,Female
101,Paola PADOVAN,04 DEC 1995,ITA,986,Javelin Throw,27.0,2nd Class,Female
102,Sakura KAMEI,18 MAR 2001,JPN,986,Javelin Throw,22.0,2nd Class,Female
104,Afroditi MANIOU,19 AUG 1998,GRE,984,Javelin Throw,24.0,2nd Class,Female
105,Federica BOTTER,23 JAN 2001,ITA,983,Javelin Throw,22.0,2nd Class,Female
106,Margherita RANDAZZO,21 AUG 2002,ITA,979,Javelin Throw,20.0,2nd Class,Female
107,Nozomi SAKURAI,27 APR 2005,JPN,978,Javelin Throw,18.0,2nd Class,Female
108,Jingyi YIN,29 OCT 2002,CHN,977,Javelin Throw,20.0,2nd Class,Female
109,Nargiza KUCHKAROVA,27 FEB 1999,UZB,976,Javelin Throw,24.0,2nd Class,Female
110,Erika LUKACH,31 JAN 2002,UKR,976,Javelin Throw,21.0,2nd Class,Female
111,Emilia KARELL,30 MAR 2003,FIN,976,Javelin Throw,20.0,2nd Class,Female
112,Sigrid BORGE,03 DEC 1995,NOR,975,Javelin Throw,27.0,2nd Class,Female
113,Yu LIAO,18 MAY 2000,CHN,974,Javelin Throw,22.0,2nd Class,Female
114,Ayaka ISHIGAKI,29 JAN 2001,JPN,973,Javelin Throw,22.0,2nd Class,Female
115,Hui-Jun LI,12 MAY 1999,TPE,973,Javelin Throw,24.0,2nd Class,Female
116,Münevver HANCI,25 JAN 2001,TUR,972,Javelin Throw,22.0,2nd Class,Female
117,Aoi MURAKAMI,11 MAR 2004,JPN,968,Javelin Throw,19.0,2nd Class,Female
118,Emma WÖRSDÖRFER,22 SEP 1998,GER,968,Javelin Throw,24.0,2nd Class,Female
119,Riko NISHIMURA,01 NOV 1993,JPN,968,Javelin Throw,29.0,2nd Class,Female
120,Sayuka KURATA,22 MAY 2004,JPN,967,Javelin Throw,18.0,2nd Class,Female
121,Orie USHIRO,24 AUG 1990,JPN,966,Javelin Throw,32.0,2nd Class,Female
122,Akiho HYODO,29 OCT 1999,JPN,965,Javelin Throw,23.0,2nd Class,Female
123,Mackenzie MIELCZAREK,06 FEB 2003,AUS,965,Javelin Throw,20.0,2nd Class,Female
124,Patricia MADL,14 FEB 1999,AUT,965,Javelin Throw,24.0,2nd Class,Female
125,Evelina MENDES,02 JAN 1998,FRA,962,Javelin Throw,25.0,2nd Class,Female
126,Margaux NICOLLIN,01 MAY 1995,FRA,961,Javelin Throw,28.0,2nd Class,Female
127,Nana TAKAHASHI,15 APR 2001,JPN,959,Javelin Throw,22.0,2nd Class,Female
128,Yu GONG,22 JUL 2003,CHN,957,Javelin Throw,19.0,2nd Class,Female
129,Leonie TRÖGER,22 DEC 2000,GER,957,Javelin Throw,22.0,2nd Class,Female
130,Viktoriya CHERVYAKOVA,08 MAR 2002,RUS,956,Javelin Throw,21.0,2nd Class,Female
131,Jess BELL,13 JAN 2000,AUS,954,Javelin Throw,23.0,2nd Class,Female
132,Mirta KULIŠIĆ,21 MAY 2000,CRO,953,Javelin Throw,22.0,2nd Class,Female
133,Dana BAKER,07 OCT 1999,USA,952,Javelin Throw,23.0,2nd Class,Female
135,Megan ALBAMONTI,10 MAY 2001,USA,948,Javelin Throw,22.0,2nd Class,Female
136,Thais Alves DE AGUIAR,05 DEC 1994,BRA,947,Javelin Throw,28.0,2nd Class,Female
137,Chao-Chi SU,10 SEP 2000,TPE,947,Javelin Throw,22.0,2nd Class,Female
138,Ivana KOKTAVÁ,29 JUN 2001,CZE,945,Javelin Throw,21.0,2nd Class,Female
139,Arianne DUARTE MORAIS,23 MAY 1999,NOR,944,Javelin Throw,23.0,2nd Class,Female
140,Chih-Jen LIU,13 DEC 2003,TPE,944,Javelin Throw,19.0,2nd Class,Female
141,Caroline NÄSLUND,23 JAN 1998,SWE,943,Javelin Throw,25.0,2nd Class,Female
142,Nina RMAN,15 JUL 2001,SLO,941,Javelin Throw,21.0,2nd Class,Female
143,Josefa SCHEPP,18 FEB 2003,GER,939,Javelin Throw,20.0,2nd Class,Female
144,Rei NAKAMURA,09 JAN 2003,JPN,938,Javelin Throw,20.0,2nd Class,Female
145,Kana SHINODA,05 OCT 2002,JPN,937,Javelin Throw,20.0,2nd Class,Female
146,Yuika NAKAMURA,20 FEB 2001,JPN,937,Javelin Throw,22.0,2nd Class,Female
147,Géraldine RUCKSTUHL,24 FEB 1998,SUI,936,Javelin Throw,25.0,2nd Class,Female
148,Yun MO,14 MAY 2003,CHN,936,Javelin Throw,20.0,2nd Class,Female
149,Maria Børstad JENSEN,12 DEC 1994,NOR,935,Javelin Throw,28.0,2nd Class,Female
150,Annabella BOGDÁN,07 APR 1992,HUN,932,Javelin Throw,31.0,2nd Class,Female
151,Alyssa JOHN,11 MAY 2003,GER,932,Javelin Throw,20.0,2nd Class,Female
152,Nao KAWATA,17 MAY 2000,JPN,932,Javelin Throw,22.0,2nd Class,Female
153,Zhuoma RENQING,09 JUN 1999,CHN,931,Javelin Throw,23.0,2nd Class,Female
154,Beatrice LANTZ,22 OCT 1997,SWE,930,Javelin Throw,25.0,2nd Class,Female
155,Ioana Valentina PLAVAN,16 JUL 1998,ROU,929,Javelin Throw,24.0,2nd Class,Female
156,Noemi LUYER,20 SEP 2000,AUT,929,Javelin Throw,22.0,2nd Class,Female
157,Ka-hui LEE,28 JUL 1998,KOR,929,Javelin Throw,24.0,2nd Class,Female
159,Lilly URBAN,10 MAY 2002,GER,928,Javelin Throw,21.0,2nd Class,Female
160,Alina SHUKH,12 FEB 1999,UKR,927,Javelin Throw,24.0,2nd Class,Female
161,Christina LAHRS,08 JAN 2004,GER,927,Javelin Throw,19.0,2nd Class,Female
162,Vivian SUOMINEN,17 SEP 2003,FIN,927,Javelin Throw,19.0,2nd Class,Female
163,Emma HAMPLETT,27 JUL 1998,GBR,927,Javelin Throw,24.0,2nd Class,Female
164,Emily DIBBLE,17 SEP 1999,GBR,926,Javelin Throw,23.0,2nd Class,Female
165,Ah-young PARK,05 OCT 2000,KOR,923,Javelin Throw,22.0,2nd Class,Female
166,Sanija OZOLIŅA,07 DEC 2003,LAT,923,Javelin Throw,19.0,2nd Class,Female
167,Bailey DELL,07 OCT 1996,CAN,923,Javelin Throw,26.0,2nd Class,Female
168,Stefani Beatriz NAVARRO DA SILVA,16 MAR 2003,BRA,922,Javelin Throw,20.0,2nd Class,Female
169,Marianaily SILVA,18 DEC 2002,CUB,921,Javelin Throw,20.0,2nd Class,Female
170,Katrina BLACKETT,08 JUN 1995,AUS,921,Javelin Throw,27.0,2nd Class,Female
171,Mikako YAMASHITA,03 MAY 1997,JPN,921,Javelin Throw,26.0,2nd Class,Female
172,Sharmila KUMARI,02 MAR 1995,IND,920,Javelin Throw,28.0,2nd Class,Female
173,Luisa TREMEL,11 SEP 2002,GER,918,Javelin Throw,20.0,2nd Class,Female
174,Chloé SERVANT,15 MAY 1999,FRA,917,Javelin Throw,24.0,2nd Class,Female
175,Dewi LAFONTAINE,08 JAN 1999,NED,916,Javelin Throw,24.0,2nd Class,Female
176,Natalia MADRZEJWSKA,12 APR 2002,POL,915,Javelin Throw,21.0,2nd Class,Female
177,Iori HIRAMATSU,06 APR 2002,JPN,912,Javelin Throw,21.0,2nd Class,Female
178,Mia GORDON,23 OCT 2002,AUS,912,Javelin Throw,20.0,2nd Class,Female
179,Atina KAMASI,30 OCT 1997,SRB,910,Javelin Throw,25.0,2nd Class,Female
180,Laura Melissa PAREDES MEZA,30 AUG 1996,PAR,909,Javelin Throw,26.0,2nd Class,Female
181,Salumi ROBBERTS,04 AUG 2002,AUS,909,Javelin Throw,20.0,2nd Class,Female
182,Clarissa WEYER,03 DEC 2001,RSA,909,Javelin Throw,21.0,2nd Class,Female
183,Jade MARAVAL,06 JUN 2002,FRA,908,Javelin Throw,20.0,2nd Class,Female
184,Aleksandra PEROVA,10 DEC 2002,RUS,907,Javelin Throw,20.0,2nd Class,Female
185,Ashley PRYKE,07 JUL 1997,CAN,907,Javelin Throw,25.0,2nd Class,Female
186,Pin-Hsun CHU,08 APR 2005,TPE,906,Javelin Throw,18.0,2nd Class,Female
187,Carmen SÁNCHEZ,29 FEB 1992,ESP,906,Javelin Throw,31.0,2nd Class,Female
188,Yuri TANAKA,15 NOV 2001,JPN,905,Javelin Throw,21.0,2nd Class,Female
189,Minna HOLLANTI,06 FEB 2001,FIN,905,Javelin Throw,22.0,2nd Class,Female
190,Karolina BOŁDYSZ,21 APR 1993,POL,904,Javelin Throw,30.0,2nd Class,Female
191,Siiri ELOMAA,19 SEP 2003,FIN,904,Javelin Throw,19.0,2nd Class,Female
192,Pauline SMAL,29 MAR 1998,BEL,903,Javelin Throw,25.0,2nd Class,Female
193,Ritsuko HORIUCHI,28 APR 2002,JPN,903,Javelin Throw,21.0,2nd Class,Female
194,Noémie PLEIMLING,27 AUG 1993,LUX,902,Javelin Throw,29.0,2nd Class,Female
195,Ivana DJURIĆ,26 AUG 2001,SRB,902,Javelin Throw,21.0,2nd Class,Female
196,Bianca SALMING,22 NOV 1998,SWE,901,Javelin Throw,24.0,2nd Class,Female
197,Minka NURRO,07 DEC 1999,FIN,901,Javelin Throw,23.0,2nd Class,Female
198,Harriette MORTLOCK,27 NOV 2003,GBR,900,Javelin Throw,19.0,2nd Class,Female
199,Enya CARRETERO,09 SEP 1992,ESP,897,Javelin Throw,30.0,2nd Class,Female
200,Anna MAKAI,08 MAR 2004,HUN,896,Javelin Throw,19.0,2nd Class,Female
201,Jelena JAAKKOLA,07 MAR 1989,FIN,896,Javelin Throw,34.0,3rd Class,Female
202,Noa SAITO,29 MAY 2003,JPN,896,Javelin Throw,19.0,3rd Class,Female
203,Anna ADYSEVA,28 JUL 1998,RUS,894,Javelin Throw,24.0,3rd Class,Female
204,Chiara-Belinda SCHULER,02 JUN 2001,AUT,894,Javelin Throw,21.0,3rd Class,Female
205,Noah VERDUIN,18 JUN 2003,NED,892,Javelin Throw,19.0,3rd Class,Female
206,Natsumi TERADA,25 MAY 2002,JPN,891,Javelin Throw,20.0,3rd Class,Female
207,Danien TEN BERGE,28 DEC 1992,NED,890,Javelin Throw,30.0,3rd Class,Female
208,Laura PESOLA,12 MAY 1996,FIN,890,Javelin Throw,27.0,3rd Class,Female
209,Arzu ATLI,13 SEP 2003,TUR,889,Javelin Throw,19.0,3rd Class,Female
210,Julia ULBRICHT,28 NOV 2000,GER,887,Javelin Throw,22.0,3rd Class,Female
211,Sabrina BOSS,23 MAR 2005,SUI,887,Javelin Throw,18.0,3rd Class,Female
212,Hina TSUTSUMI,07 JAN 2005,JPN,886,Javelin Throw,18.0,3rd Class,Female
213,Valeriya KUCHINA,12 AUG 1998,RUS,886,Javelin Throw,24.0,3rd Class,Female
214,Kathrin WALTER,06 FEB 2000,GER,885,Javelin Throw,23.0,3rd Class,Female
215,Ayano MORI,23 MAY 2000,JPN,885,Javelin Throw,22.0,3rd Class,Female
216,Laine DONANE,01 OCT 1998,LAT,884,Javelin Throw,24.0,3rd Class,Female
217,Fang YANG,22 APR 2004,CHN,883,Javelin Throw,19.0,3rd Class,Female
218,Mali Ingeborg VOLLAN MARSTAD,09 DEC 1997,NOR,882,Javelin Throw,25.0,3rd Class,Female
219,Adele TONIUTTO,12 JUN 2001,ITA,881,Javelin Throw,21.0,3rd Class,Female
221,Napsugár ESZENYI,11 JAN 2002,HUN,879,Javelin Throw,21.0,3rd Class,Female
222,Fanni MÁTÉ,04 AUG 1999,HUN,878,Javelin Throw,23.0,3rd Class,Female
223,Andrea ŽELEZNÁ,04 JUL 1993,CZE,878,Javelin Throw,29.0,3rd Class,Female
224,Sietske VERKADE,10 NOV 2002,NED,877,Javelin Throw,20.0,3rd Class,Female
225,Adéla MÜLLEROVÁ,15 DEC 2004,CZE,877,Javelin Throw,18.0,3rd Class,Female
226,Matilda ELFGAARD,11 JUN 1992,SWE,877,Javelin Throw,30.0,3rd Class,Female
227,Miyabi SONO,09 APR 2005,JPN,877,Javelin Throw,18.0,3rd Class,Female
228,Se-bin LEE,14 APR 2001,KOR,876,Javelin Throw,22.0,3rd Class,Female
231,Miu TABATA,17 MAY 2002,JPN,874,Javelin Throw,20.0,3rd Class,Female
233,Airi MAEKAWA,28 JUN 2003,JPN,871,Javelin Throw,19.0,3rd Class,Female
234,Roosa YLÖNEN,29 APR 1999,FIN,871,Javelin Throw,24.0,3rd Class,Female
235,Luisa SINIGAGLIA,27 SEP 1997,ITA,871,Javelin Throw,25.0,3rd Class,Female
236,Lauren FARLEY,16 SEP 2001,GBR,870,Javelin Throw,21.0,3rd Class,Female
237,Blanka KÁLLAI-KISS,25 MAY 2004,HUN,870,Javelin Throw,18.0,3rd Class,Female
238,Amanda OLSSON,03 JUL 2003,SWE,870,Javelin Throw,19.0,3rd Class,Female
239,Julia SZAŁAS,24 OCT 1998,POL,868,Javelin Throw,24.0,3rd Class,Female
240,Lena MEYER,26 FEB 1999,SUI,868,Javelin Throw,24.0,3rd Class,Female
242,Marie DEHNING,26 MAY 2003,GER,867,Javelin Throw,19.0,3rd Class,Female
243,Karina POLUDKINA,16 SEP 2003,RUS,867,Javelin Throw,19.0,3rd Class,Female
244,Callie JONES,26 DEC 1998,USA,866,Javelin Throw,24.0,3rd Class,Female
245,Tjara HSU,16 FEB 2002,GER,866,Javelin Throw,21.0,3rd Class,Female
246,Ana SOLER,19 OCT 1999,PUR,865,Javelin Throw,23.0,3rd Class,Female
247,Heidi NOKELAINEN,30 SEP 1990,FIN,865,Javelin Throw,32.0,3rd Class,Female
248,Helmiina KYNNÄS,20 MAY 2004,FIN,865,Javelin Throw,18.0,3rd Class,Female
249,Katre Marit LIIV,30 SEP 2002,EST,864,Javelin Throw,20.0,3rd Class,Female
251,Paula RODRIGUEZ,21 JUL 2003,ESP,861,Javelin Throw,19.0,3rd Class,Female
253,Laureen THOMAS,01 MAR 2002,FRA,860,Javelin Throw,21.0,3rd Class,Female
254,Sophie HAMILTON,06 MAY 2004,GBR,860,Javelin Throw,19.0,3rd Class,Female
255,Pálma SÁRI,16 SEP 2002,HUN,859,Javelin Throw,20.0,3rd Class,Female
256,Sabrina SCHRÖDER,25 JAN 2000,GER,858,Javelin Throw,23.0,3rd Class,Female
257,Joanna BLAIR,01 MAR 1986,GBR,858,Javelin Throw,37.0,3rd Class,Female
258,Miran NARAOKA,04 MAR 2001,JPN,858,Javelin Throw,22.0,3rd Class,Female
259,Ilhem TAMROUTI,20 DEC 1999,NED,858,Javelin Throw,23.0,3rd Class,Female
260,Petra HANULIAKOVÁ,24 JUN 2002,SVK,857,Javelin Throw,20.0,3rd Class,Female
261,Mikhaela PETKOVA,11 JAN 1999,BUL,857,Javelin Throw,24.0,3rd Class,Female
262,Selma DAVULCU,18 SEP 2003,TUR,857,Javelin Throw,19.0,3rd Class,Female
263,Zoe SCHWARTZ,02 OCT 2004,FRA,856,Javelin Throw,18.0,3rd Class,Female
264,Mariya MATSUI,17 FEB 1990,JPN,856,Javelin Throw,33.0,3rd Class,Female
265,Yin-Hsuan YU,27 NOV 2005,TPE,856,Javelin Throw,17.0,3rd Class,Female
266,Ida EIKENG,25 JUN 1999,NOR,855,Javelin Throw,23.0,3rd Class,Female
267,Miyabi EGAWA,20 JAN 2003,JPN,855,Javelin Throw,20.0,3rd Class,Female
268,Ying WANG,05 JUN 2001,CHN,855,Javelin Throw,21.0,3rd Class,Female
269,Lara LATZ,12 OCT 2000,GER,854,Javelin Throw,22.0,3rd Class,Female
270,Victoria KRAUSE,10 JUL 2000,GER,854,Javelin Throw,22.0,3rd Class,Female
271,Yu UEDA,06 JUN 2005,JPN,853,Javelin Throw,17.0,3rd Class,Female
272,Varvara SUDOPLATOVA,15 DEC 2004,RUS,851,Javelin Throw,18.0,3rd Class,Female
273,Tomoka YAMAGATA,25 APR 2001,JPN,851,Javelin Throw,22.0,3rd Class,Female
274,Aleksandra IVANOVA,13 JUL 1999,RUS,851,Javelin Throw,23.0,3rd Class,Female
275,Anisha GIBBONS,25 SEP 2004,GUY,849,Javelin Throw,18.0,3rd Class,Female
277,Paula PIÑON,29 AUG 2003,ESP,849,Javelin Throw,19.0,3rd Class,Female
278,Haruna OKADA,09 APR 2003,JPN,849,Javelin Throw,20.0,3rd Class,Female
279,Federica DOZIO,22 AUG 2003,ITA,848,Javelin Throw,19.0,3rd Class,Female
281,Ayuki NISHINO,26 DEC 2001,JPN,847,Javelin Throw,21.0,3rd Class,Female
282,Dominella Johana ARIAS,14 MAY 1994,ARG,847,Javelin Throw,29.0,3rd Class,Female
284,Jana STOJIĆ,05 MAY 2003,CRO,842,Javelin Throw,20.0,3rd Class,Female
286,Jenice KOLLER,10 OCT 2005,SUI,842,Javelin Throw,17.0,3rd Class,Female
288,Fiorella Jazmin VELOSO,21 SEP 2002,PAR,841,Javelin Throw,20.0,3rd Class,Female
289,Elisabeth HAFENRICHTER,27 APR 2000,GER,841,Javelin Throw,23.0,3rd Class,Female
290,Jane ROOSIMÄGI,18 APR 2004,EST,840,Javelin Throw,19.0,3rd Class,Female
292,Margarita TSOUKALA,12 FEB 2001,GRE,840,Javelin Throw,22.0,3rd Class,Female
293,Abbey MOODY,18 JAN 2004,NZL,839,Javelin Throw,19.0,3rd Class,Female
294,Aina RAMOS,11 JUN 2002,ESP,839,Javelin Throw,20.0,3rd Class,Female
296,Liv CANTBY,26 NOV 1999,DEN,834,Javelin Throw,23.0,3rd Class,Female
297,Aleida MENDES,07 MAY 2001,POR,834,Javelin Throw,22.0,3rd Class,Female
298,Yelizaveta POROTIKOVA,20 AUG 2000,RUS,834,Javelin Throw,22.0,3rd Class,Female
299,Volha ZHVANKO,11 MAR 2002,BLR,833,Javelin Throw,21.0,3rd Class,Female
301,Zsófi HORVÁTH,16 OCT 2004,HUN,833,Javelin Throw,18.0,4th Class,Female
302,Céline BUCHSER,28 AUG 2004,SUI,833,Javelin Throw,18.0,4th Class,Female
303,Margherita REGONASCHI,19 DEC 2001,ITA,831,Javelin Throw,21.0,4th Class,Female
