Place,Competitor,DOB,Nat,Score,Event List,Age,Thrower Class,Gender
28,Boris BEZDOLNIY,01 APR 1997,RUS,1155,Javelin Throw,26.0,1st Class,Male
29,Douw SMIT,12 MAY 1999,RSA,1153,Javelin Throw,24.0,1st Class,Male
30,Alexandru Mihaita NOVAC,24 MAR 1997,ROU,1149,Javelin Throw,26.0,1st Class,Male
31,Gatis ČAKŠS,13 JUN 1995,LAT,1144,Javelin Throw,27.0,1st Class,Male
32,Tim GLOVER,01 NOV 1990,USA,1142,Javelin Throw,32.0,1st Class,Male
33,Pedro Henrique RODRIGUES,18 JUN 1999,BRA,1141,Javelin Throw,23.0,1st Class,Male
34,Kenji OGURA,08 JUN 1995,JPN,1139,Javelin Throw,27.0,1st Class,Male
35,Kim AMB,31 JUL 1990,SWE,1136,Javelin Throw,32.0,1st Class,Male
36,Marc Anthony MINICHELLO,06 APR 2000,USA,1136,Javelin Throw,23.0,1st Class,Male
37,Ryohei ARAI,23 JUN 1991,JPN,1134,Javelin Throw,31.0,1st Class,Male
38,Capers WILLIAMSON,13 OCT 1992,USA,1132,Javelin Throw,30.0,1st Class,Male
39,David CARREON,23 MAR 1994,MEX,1131,Javelin Throw,29.0,1st Class,Male
40,Chinecherem NNAMDI,12 JUL 2002,NGR,1126,Javelin Throw,20.0,1st Class,Male
41,Jakob SAMUELSSON,19 FEB 1998,SWE,1126,Javelin Throw,25.0,1st Class,Male
42,Donavon BANKS,15 APR 1997,USA,1125,Javelin Throw,26.0,1st Class,Male
43,Yuta SAKIYAMA,05 APR 1996,JPN,1120,Javelin Throw,27.0,1st Class,Male
44,Timothy HERMAN,19 OCT 1990,BEL,1120,Javelin Throw,32.0,1st Class,Male
45,Cruz HOGAN,22 FEB 1994,AUS,1116,Javelin Throw,29.0,1st Class,Male
46,Emin ÖNCEL,01 MAY 1997,TUR,1111,Javelin Throw,26.0,1st Class,Male
47,Martin KONEČNÝ,20 DEC 1997,CZE,1110,Javelin Throw,25.0,1st Class,Male
48,Max DEHNING,09 SEP 2004,GER,1108,Javelin Throw,18.0,1st Class,Male
49,Keyshawn STRACHAN,18 DEC 2003,BAH,1103,Javelin Throw,19.0,1st Class,Male
50,Kishore JENA,06 SEP 1995,IND,1098,Javelin Throw,27.0,1st Class,Male
51,Arthur W. PETERSEN,18 AUG 1999,DEN,1097,Javelin Throw,23.0,1st Class,Male
52,Maximilian SLEZÁK,02 JUL 1996,SVK,1096,Javelin Throw,26.0,1st Class,Male
53,Denis Adrian BOTH,21 AUG 1997,ROU,1093,Javelin Throw,25.0,1st Class,Male
54,Dagbjartur Dadi JONSSON,13 NOV 1997,ISL,1092,Javelin Throw,25.0,1st Class,Male
55,Norbert RIVASZ-TÓTH,06 MAY 1996,HUN,1092,Javelin Throw,27.0,1st Class,Male
56,Carlos ARMENTA,18 JUL 1990,MEX,1091,Javelin Throw,32.0,1st Class,Male
57,Marcin KRUKOWSKI,14 JUN 1992,POL,1090,Javelin Throw,30.0,1st Class,Male
58,Pavel SASIMOVICH,05 SEP 1999,BLR,1087,Javelin Throw,23.0,1st Class,Male
59,Tatsuya SAKAMOTO,04 MAY 1996,JPN,1087,Javelin Throw,27.0,1st Class,Male
60,Liam O'BRIEN,13 APR 1996,AUS,1085,Javelin Throw,27.0,1st Class,Male
61,Dejan MILEUSNIĆ,16 NOV 1991,BIH,1084,Javelin Throw,31.0,1st Class,Male
62,Billy JULIO LÓPEZ,14 FEB 1996,COL,1084,Javelin Throw,27.0,1st Class,Male
63,Shih-Feng HUANG,02 MAR 1992,TPE,1083,Javelin Throw,31.0,1st Class,Male
64,Ethan SHALAWAY,28 SEP 1994,USA,1082,Javelin Throw,28.0,1st Class,Male
65,Topias LAINE,12 JUL 2001,FIN,1082,Javelin Throw,21.0,1st Class,Male
66,Valery IZOTAU,12 APR 1997,BLR,1081,Javelin Throw,26.0,1st Class,Male
67,Teo TAKALA,06 JUN 1994,FIN,1080,Javelin Throw,28.0,1st Class,Male
68,Janne LÄSPÄ,02 APR 2002,FIN,1080,Javelin Throw,21.0,1st Class,Male
69,Tzuriel PEDIGO,09 JAN 2000,USA,1079,Javelin Throw,23.0,1st Class,Male
70,Maurice VOIGT,08 SEP 2000,GER,1074,Javelin Throw,22.0,1st Class,Male
71,Hamish PEACOCK,15 OCT 1990,AUS,1073,Javelin Throw,32.0,1st Class,Male
72,Taneli JUUTINEN,25 OCT 1994,FIN,1069,Javelin Throw,28.0,1st Class,Male
73,Nikolay ORLOV,07 JAN 1999,RUS,1068,Javelin Throw,24.0,1st Class,Male
74,Abhishek DRALL,11 MAY 1998,IND,1067,Javelin Throw,25.0,1st Class,Male
75,Rikinari ISHIZAKA,02 MAY 1997,JPN,1066,Javelin Throw,26.0,1st Class,Male
76,Rin SUZUKI,13 DEC 2002,JPN,1065,Javelin Throw,20.0,1st Class,Male
77,Elvis GRAHAM,03 OCT 1996,JAM,1064,Javelin Throw,26.0,1st Class,Male
78,Heqing NIU,16 APR 1997,CHN,1063,Javelin Throw,26.0,1st Class,Male
79,Arley IBARGUEN,17 OCT 1982,COL,1061,Javelin Throw,40.0,1st Class,Male
80,Haoran HU,28 SEP 1998,CHN,1061,Javelin Throw,24.0,1st Class,Male
81,Dmitriy TARABIN,29 OCT 1991,RUS,1060,Javelin Throw,31.0,1st Class,Male
82,Nicolas QUIJERA,24 JUN 1996,ESP,1056,Javelin Throw,26.0,1st Class,Male
83,Johan GROBLER,06 AUG 1997,RSA,1056,Javelin Throw,25.0,1st Class,Male
84,Alex Toroitich KIPROTICH,10 OCT 1994,KEN,1056,Javelin Throw,28.0,1st Class,Male
85,Howard MCDONALD,23 AUG 2001,AUS,1055,Javelin Throw,21.0,1st Class,Male
86,Ali Fathi GANJI,21 APR 2001,IRI,1055,Javelin Throw,22.0,1st Class,Male
87,Abhishek SINGH,20 MAY 1995,IND,1051,Javelin Throw,27.0,1st Class,Male
88,Roberto ORLANDO,05 AUG 1995,ITA,1051,Javelin Throw,27.0,1st Class,Male
89,Dawid WEGNER,23 APR 2000,POL,1050,Javelin Throw,23.0,1st Class,Male
90,György HERCZEG,08 AUG 2004,HUN,1049,Javelin Throw,18.0,1st Class,Male
91,Cong WANG,30 JAN 2001,CHN,1048,Javelin Throw,22.0,1st Class,Male
92,Rémi CONROY,17 JUN 1998,FRA,1048,Javelin Throw,24.0,1st Class,Male
93,Aliaksandr KAZLOUSKI,06 FEB 1995,BLR,1044,Javelin Throw,28.0,1st Class,Male
94,Thomas VAN OPHEM,06 SEP 1992,NED,1042,Javelin Throw,30.0,1st Class,Male
95,Jakub KUBÍNEC,18 MAY 1998,SVK,1042,Javelin Throw,24.0,1st Class,Male
96,James WHITEAKER,08 OCT 1998,GBR,1041,Javelin Throw,24.0,1st Class,Male
97,Dimitris TSITSOS,27 SEP 2000,GRE,1039,Javelin Throw,22.0,1st Class,Male
98,Antonio Gabriel ORTIZ CAÑETE,03 SEP 2001,PAR,1038,Javelin Throw,21.0,1st Class,Male
99,Masataka YOKOBORI,25 SEP 1997,JPN,1037,Javelin Throw,25.0,1st Class,Male
100,Arshdeep SINGH,05 APR 1999,IND,1036,Javelin Throw,24.0,1st Class,Male
101,Noel KOVÁCS,22 NOV 1999,HUN,1035,Javelin Throw,23.0,2nd Class,Male
102,Filip DOMINKOVIĆ,18 FEB 2002,SLO,1035,Javelin Throw,21.0,2nd Class,Male
103,Eryk KOŁODZIEJCZAK,04 FEB 2002,POL,1033,Javelin Throw,21.0,2nd Class,Male
104,Tom MEIER,12 MAY 1997,GER,1033,Javelin Throw,26.0,2nd Class,Male
105,Teura'itera'i TUPAIA,06 FEB 2000,FRA,1033,Javelin Throw,23.0,2nd Class,Male
106,Giovanni DIAZ,23 MAR 1994,PAR,1032,Javelin Throw,29.0,2nd Class,Male
107,Lukas MOUTARDE,01 APR 1998,FRA,1031,Javelin Throw,25.0,2nd Class,Male
108,Niklas SAGAWE,16 APR 2000,GER,1028,Javelin Throw,23.0,2nd Class,Male
109,Nico RENSMANN,09 OCT 1996,GER,1027,Javelin Throw,26.0,2nd Class,Male
110,Sumedha RANASINGHE,10 FEB 1991,SRI,1025,Javelin Throw,32.0,2nd Class,Male
111,Martin FLORIAN,20 DEC 2001,CZE,1025,Javelin Throw,21.0,2nd Class,Male
112,Vedran SAMAC,22 JAN 1990,SRB,1024,Javelin Throw,33.0,2nd Class,Male
113,Daniel BAINBRIDGE,02 JUN 1999,GBR,1023,Javelin Throw,23.0,2nd Class,Male
114,Haruka HIGA,31 AUG 1998,JPN,1022,Javelin Throw,24.0,2nd Class,Male
115,Mustafa Mahmoud ABDEL KHALIQ,22 SEP 2001,EGY,1021,Javelin Throw,21.0,2nd Class,Male
116,Sahil SILWAL,17 DEC 2000,IND,1017,Javelin Throw,22.0,2nd Class,Male
117,Tae-poong NAM,11 SEP 1997,KOR,1014,Javelin Throw,25.0,2nd Class,Male
118,Roberto BERTOLINI,09 OCT 1985,ITA,1013,Javelin Throw,37.0,2nd Class,Male
119,Tino MÄKELÄ,31 JUL 1999,FIN,1013,Javelin Throw,23.0,2nd Class,Male
120,Rishab NEHRA,10 DEC 1999,IND,1012,Javelin Throw,23.0,2nd Class,Male
121,Brett THOMPSON,06 FEB 1997,USA,1012,Javelin Throw,26.0,2nd Class,Male
122,Teemu NARVI,02 JUL 2000,FIN,1011,Javelin Throw,22.0,2nd Class,Male
123,Lassi YLI-KOTILA,01 JUN 1999,FIN,1011,Javelin Throw,23.0,2nd Class,Male
124,Mateusz KWAŚNIEWSKI,16 JUL 1995,POL,1008,Javelin Throw,27.0,2nd Class,Male
125,Tatsuki MINAMI,18 JUN 2000,JPN,1007,Javelin Throw,22.0,2nd Class,Male
126,Junzi CAO,13 MAR 2003,CHN,1007,Javelin Throw,20.0,2nd Class,Male
127,Jean Marcos MAIRONGO,02 FEB 2001,ECU,1006,Javelin Throw,22.0,2nd Class,Male
128,Uttam PATIL,01 NOV 1994,IND,1006,Javelin Throw,28.0,2nd Class,Male
129,Lenny BRISSEAULT,02 SEP 2002,FRA,1006,Javelin Throw,20.0,2nd Class,Male
130,Younes YOUSEFVAND,21 APR 1987,IRI,1005,Javelin Throw,36.0,2nd Class,Male
131,Linus LIMMER,11 MAY 2000,GER,1005,Javelin Throw,23.0,2nd Class,Male
132,Benjamin EAST,19 NOV 2003,GBR,1004,Javelin Throw,19.0,2nd Class,Male
133,Da-ni KIM,28 JUN 1999,KOR,1004,Javelin Throw,23.0,2nd Class,Male
134,Maged Mohsen ALBADRY,29 SEP 1995,EGY,1002,Javelin Throw,27.0,2nd Class,Male
135,Xiaobo WANG,18 FEB 2005,CHN,1002,Javelin Throw,18.0,2nd Class,Male
136,Máté JÁRVÁS,31 JAN 2001,HUN,1000,Javelin Throw,22.0,2nd Class,Male
137,Rafael LAUTARO,11 MAR 2002,URU,998,Javelin Throw,21.0,2nd Class,Male
138,Michele FINA,09 SEP 2002,ITA,998,Javelin Throw,20.0,2nd Class,Male
139,Jaakko HAUTA-AHO,10 JAN 1997,FIN,998,Javelin Throw,26.0,2nd Class,Male
140,Qingshu SONG,23 DEC 2000,CHN,997,Javelin Throw,22.0,2nd Class,Male
141,Jarmo MARTTILA,24 OCT 1992,FIN,996,Javelin Throw,30.0,2nd Class,Male
142,Francisco MUSE,09 APR 1996,CHI,995,Javelin Throw,27.0,2nd Class,Male
143,Longyu GAO,29 JAN 2000,CHN,995,Javelin Throw,23.0,2nd Class,Male
144,Cedric SORGELOOS,14 APR 2000,BEL,994,Javelin Throw,23.0,2nd Class,Male
145,Ryusei NAKAMURA,20 FEB 2003,JPN,994,Javelin Throw,20.0,2nd Class,Male
146,Luis Mario TARACENA,03 OCT 1989,GUA,992,Javelin Throw,33.0,2nd Class,Male
147,Ilírio NAZARÉ,16 APR 2000,POR,992,Javelin Throw,23.0,2nd Class,Male
148,Mingyang CUI,02 OCT 2002,CHN,990,Javelin Throw,20.0,2nd Class,Male
149,Pablo COSTAS,10 MAY 2001,ESP,990,Javelin Throw,22.0,2nd Class,Male
150,Spyros SAVVA,24 JAN 2000,CYP,988,Javelin Throw,23.0,2nd Class,Male
151,José ESCOBAR,21 AUG 1991,ECU,987,Javelin Throw,31.0,2nd Class,Male
152,Joe HARRIS,23 MAY 1997,GBR,987,Javelin Throw,25.0,2nd Class,Male
153,Mathys MOUTARDE,28 AUG 2003,FRA,987,Javelin Throw,19.0,2nd Class,Male
154,Tom EGBERS,11 NOV 1999,NED,986,Javelin Throw,23.0,2nd Class,Male
155,Ayumu ISHIYAMA,02 JUN 1996,JPN,984,Javelin Throw,26.0,2nd Class,Male
156,Won-kil PARK,24 FEB 1990,KOR,982,Javelin Throw,33.0,2nd Class,Male
157,Yugo MASUDA,18 APR 1998,JPN,982,Javelin Throw,25.0,2nd Class,Male
158,Hayato YAMADA,05 DEC 2002,JPN,982,Javelin Throw,20.0,2nd Class,Male
159,Kunnar Erich VIISEL,06 OCT 1999,EST,980,Javelin Throw,23.0,2nd Class,Male
160,Timothe CHAUVIN,28 FEB 2000,FRA,979,Javelin Throw,23.0,2nd Class,Male
161,Joni KAARTINEN,04 OCT 1989,SWE,978,Javelin Throw,33.0,2nd Class,Male
162,Eric FRANK,29 JAN 2002,GER,978,Javelin Throw,21.0,2nd Class,Male
163,Jānis Svens GRĪVA,23 APR 1993,LAT,978,Javelin Throw,30.0,2nd Class,Male
164,Tomas SABAŠINSKAS,15 MAR 2000,LTU,977,Javelin Throw,23.0,2nd Class,Male
165,Ahmed Sameh MOHAMED HUSSEIN,10 JAN 2003,EGY,977,Javelin Throw,20.0,2nd Class,Male
166,Yongkun LIU,30 DEC 2002,CHN,976,Javelin Throw,20.0,2nd Class,Male
167,Chao-Hung HUANG,25 SEP 2006,TPE,976,Javelin Throw,16.0,2nd Class,Male
168,Matija KRANJC,12 JUN 1984,SLO,974,Javelin Throw,38.0,2nd Class,Male
169,Esa HILTUNEN,25 DEC 1996,SWE,974,Javelin Throw,26.0,2nd Class,Male
170,Giovanni BELLINI,25 JAN 1996,ITA,973,Javelin Throw,27.0,2nd Class,Male
172,Jonathan CEDEÑO,26 AUG 1995,PAN,973,Javelin Throw,27.0,2nd Class,Male
173,Riki HANADA,08 SEP 2002,JPN,973,Javelin Throw,20.0,2nd Class,Male
174,Evan NIEDROWSKI,07 MAR 2003,USA,973,Javelin Throw,20.0,2nd Class,Male
175,Laurent CARRON,26 MAY 1994,SUI,972,Javelin Throw,28.0,2nd Class,Male
176,Ivan Jose SIBAJA,20 MAY 2000,CRC,972,Javelin Throw,22.0,2nd Class,Male
178,Florian ZIMMERMANN,13 JUN 2001,GER,972,Javelin Throw,21.0,2nd Class,Male
179,Jakob RAHM,20 JUL 2002,SWE,972,Javelin Throw,20.0,2nd Class,Male
180,Ryosuke KAMEI,29 APR 1997,JPN,971,Javelin Throw,26.0,2nd Class,Male
181,Jonáš FIEDLER,07 MAR 2001,CZE,970,Javelin Throw,22.0,2nd Class,Male
182,Zhekai LIU,18 AUG 2000,CHN,969,Javelin Throw,22.0,2nd Class,Male
183,Eetu PELTOKANGAS,21 FEB 2001,FIN,969,Javelin Throw,22.0,2nd Class,Male
184,Jakob NAUCK,13 NOV 1999,GER,969,Javelin Throw,23.0,2nd Class,Male
185,Anže DURJAVA,24 JAN 2001,SLO,969,Javelin Throw,22.0,2nd Class,Male
186,Wiktor MERTKA,07 SEP 1997,POL,968,Javelin Throw,25.0,2nd Class,Male
187,Moritz MORSTEIN,28 JAN 2003,GER,968,Javelin Throw,20.0,2nd Class,Male
188,Rumesh Tharanga PATHIRAGE,21 MAR 2003,SRI,967,Javelin Throw,20.0,2nd Class,Male
189,Hayato TANIGAWA,28 SEP 2001,JPN,967,Javelin Throw,21.0,2nd Class,Male
190,Yarovis Ernesto CONTRERAS,25 AUG 2000,CUB,967,Javelin Throw,22.0,2nd Class,Male
191,Onni RUOKANGAS,13 SEP 2003,FIN,966,Javelin Throw,19.0,2nd Class,Male
192,Ondřej KŘÍŽ,15 JAN 2004,CZE,966,Javelin Throw,19.0,2nd Class,Male
193,Michael ALLISON,17 MAY 2004,GBR,965,Javelin Throw,18.0,2nd Class,Male
194,Lars TIMMERMAN-JETTEN,19 APR 1991,NED,964,Javelin Throw,32.0,2nd Class,Male
196,Jakob ERIKSSON,10 JUN 1998,SWE,964,Javelin Throw,24.0,2nd Class,Male
197,Bruno RODRIGUES DE FARIA,26 JAN 1996,BRA,963,Javelin Throw,27.0,2nd Class,Male
198,Casimir MATTERNE,03 JUL 1999,GER,961,Javelin Throw,23.0,2nd Class,Male
199,Simone COMINI,30 AUG 1998,ITA,960,Javelin Throw,24.0,2nd Class,Male
201,George Catalin ZAHARIA,03 AUG 1995,ROU,959,Javelin Throw,27.0,3rd Class,Male
202,Naoyuki KAKUTA,13 APR 1994,JPN,958,Javelin Throw,29.0,3rd Class,Male
204,Pavel KUVYRSHIN,09 JUL 1998,RUS,958,Javelin Throw,24.0,3rd Class,Male
205,Franck DI SANZA,29 MAR 2000,SUI,957,Javelin Throw,23.0,3rd Class,Male
206,Gregory CAMUS,11 FEB 1985,FRA,956,Javelin Throw,38.0,3rd Class,Male
208,Matīss VELPS,09 JUL 1999,LAT,955,Javelin Throw,23.0,3rd Class,Male
209,Andy WHITE,06 DEC 1989,CAN,954,Javelin Throw,33.0,3rd Class,Male
210,Paolo PUPPO,15 NOV 2002,ITA,954,Javelin Throw,20.0,3rd Class,Male
211,Conor CUSACK,10 MAR 2002,IRL,953,Javelin Throw,21.0,3rd Class,Male
212,Jiarui ZHANG,18 AUG 1999,CHN,953,Javelin Throw,23.0,3rd Class,Male
213,Ondrej BARTOŇ,19 MAR 1993,SVK,953,Javelin Throw,30.0,3rd Class,Male
214,Kazunori YAGI,31 JAN 1994,JPN,952,Javelin Throw,29.0,3rd Class,Male
215,Rodri IGLESIAS GONZALEZ,19 APR 1997,ESP,952,Javelin Throw,26.0,3rd Class,Male
217,Benjamin PEARSON,23 MAY 1994,GBR,951,Javelin Throw,28.0,3rd Class,Male
218,Ikkei YOSHINO,14 MAR 2003,JPN,950,Javelin Throw,20.0,3rd Class,Male
220,Arno MARKOVIĆ,28 AUG 1999,CRO,948,Javelin Throw,23.0,3rd Class,Male
221,Hercules VAN VUUREN,15 APR 1998,RSA,947,Javelin Throw,25.0,3rd Class,Male
222,Nick THUMM,19 OCT 2004,GER,947,Javelin Throw,18.0,3rd Class,Male
223,Sami REUNANEN,19 JAN 1998,FIN,946,Javelin Throw,25.0,3rd Class,Male
224,Kristian LAZZARETTO,22 MAR 2003,ITA,946,Javelin Throw,20.0,3rd Class,Male
225,Erik HUIJING,22 SEP 1995,NED,946,Javelin Throw,27.0,3rd Class,Male
226,Oğuzhan USTA,15 SEP 2002,TUR,945,Javelin Throw,20.0,3rd Class,Male
228,Tsung-Lun WU,14 DEC 2000,TPE,945,Javelin Throw,22.0,3rd Class,Male
229,Orlando THOMAS,13 JAN 1995,JAM,945,Javelin Throw,28.0,3rd Class,Male
231,Antoine OMOBONI,25 OCT 2001,FRA,945,Javelin Throw,21.0,3rd Class,Male
232,Oliver BLACKBURN,19 JUL 2002,AUS,945,Javelin Throw,20.0,3rd Class,Male
233,Thomas KNOOP,10 SEP 2002,NED,944,Javelin Throw,20.0,3rd Class,Male
234,Minghao CUI,04 DEC 2004,CHN,944,Javelin Throw,18.0,3rd Class,Male
235,Dereck OTERO,16 JAN 2000,PUR,943,Javelin Throw,23.0,3rd Class,Male
236,Alex SÁNCHEZ,13 OCT 1993,ESP,943,Javelin Throw,29.0,3rd Class,Male
237,Denis CANEPA,03 MAY 1993,ITA,943,Javelin Throw,30.0,3rd Class,Male
238,Huashuo SUN,16 DEC 2004,CHN,943,Javelin Throw,18.0,3rd Class,Male
239,Kento INOUE,15 SEP 2003,JPN,942,Javelin Throw,19.0,3rd Class,Male
240,Örn DAVIDSSON,17 MAR 1990,ISL,942,Javelin Throw,33.0,3rd Class,Male
241,Robin RIEß,27 JUL 2001,GER,941,Javelin Throw,21.0,3rd Class,Male
242,Theodor THOR,07 OCT 1993,SWE,941,Javelin Throw,29.0,3rd Class,Male
243,Woo-jin CHOI,02 FEB 2004,KOR,940,Javelin Throw,19.0,3rd Class,Male
245,Callum TAYLOR,29 JUN 2004,GBR,940,Javelin Throw,18.0,3rd Class,Male
246,Julian FUNDEL,17 MAR 2000,GER,940,Javelin Throw,23.0,3rd Class,Male
247,Kohei HASEGAWA,01 JAN 1990,JPN,940,Javelin Throw,33.0,3rd Class,Male
249,Mykola KALYUSH,12 AUG 1987,UKR,937,Javelin Throw,35.0,3rd Class,Male
250,Yudai SUTO,23 MAR 2004,JPN,937,Javelin Throw,19.0,3rd Class,Male
251,Maksim GAVRILOV,19 SEP 2003,RUS,936,Javelin Throw,19.0,3rd Class,Male
252,Greg MILLAR,19 DEC 1992,GBR,935,Javelin Throw,30.0,3rd Class,Male
253,Jeroen MAAS,10 JAN 2001,NED,934,Javelin Throw,22.0,3rd Class,Male
254,Iee-tae KIM,06 OCT 2004,KOR,934,Javelin Throw,18.0,3rd Class,Male
255,Yuma SAKURAI,16 NOV 2000,JPN,934,Javelin Throw,22.0,3rd Class,Male
256,Georgios CHRISTAKAKOS,26 JUN 1998,GRE,933,Javelin Throw,24.0,3rd Class,Male
257,Clewerton Ruan DE SOUZA,22 MAY 1992,BRA,933,Javelin Throw,30.0,3rd Class,Male
259,Sebastian R. SUURBALLE,08 JAN 2002,DEN,932,Javelin Throw,21.0,3rd Class,Male
260,Tatsuya ITO,18 SEP 2001,JPN,932,Javelin Throw,21.0,3rd Class,Male
261,Yuriy KUSHNIRUK,06 DEC 1994,UKR,931,Javelin Throw,28.0,3rd Class,Male
262,William TORRES,29 JAN 2000,ECU,931,Javelin Throw,23.0,3rd Class,Male
263,Armand WILLEMSE,18 MAR 2004,RSA,931,Javelin Throw,19.0,3rd Class,Male
264,Dmytro SHEREMET,19 NOV 1992,UKR,930,Javelin Throw,30.0,3rd Class,Male
265,Ergo TAMM,31 JAN 1992,EST,929,Javelin Throw,31.0,3rd Class,Male
266,Gabriel KOLETSI,29 DEC 2003,GRE,929,Javelin Throw,19.0,3rd Class,Male
267,Roman MITCHELL,16 SEP 2000,USA,928,Javelin Throw,22.0,3rd Class,Male
268,Charlie EVANS,28 SEP 2004,GBR,928,Javelin Throw,18.0,3rd Class,Male
269,Jack GREAVES,30 DEC 2004,AUS,927,Javelin Throw,18.0,3rd Class,Male
270,Vojtěch KOZÁK,23 NOV 1992,CZE,927,Javelin Throw,30.0,3rd Class,Male
272,Travis CUDJOE,05 JAN 2000,FRA,926,Javelin Throw,23.0,3rd Class,Male
273,Nikita NASSONOV,21 JUN 2000,RUS,926,Javelin Throw,22.0,3rd Class,Male
274,Garreth CRAWFORD,06 JUN 1999,IRL,926,Javelin Throw,23.0,3rd Class,Male
275,Wojciech SUMINSKI,14 JAN 1994,POL,925,Javelin Throw,29.0,3rd Class,Male
276,Sebastian THÖRNGREN,13 JUL 1993,SWE,924,Javelin Throw,29.0,3rd Class,Male
277,Pan JIANG,15 MAY 2001,CHN,924,Javelin Throw,22.0,3rd Class,Male
278,Simon SCHMITT,13 DEC 2004,GER,923,Javelin Throw,18.0,3rd Class,Male
279,Aku PARVIAINEN,24 JUL 2003,FIN,922,Javelin Throw,19.0,3rd Class,Male
281,Shoma FUJIWARA,30 JAN 2003,JPN,922,Javelin Throw,20.0,3rd Class,Male
282,Jakob EBERLER,12 JAN 2003,GER,921,Javelin Throw,20.0,3rd Class,Male
283,Johandre PIENAAR,12 JAN 2005,RSA,921,Javelin Throw,18.0,3rd Class,Male
284,Keigo MIZUOCHI,28 FEB 2002,JPN,920,Javelin Throw,21.0,3rd Class,Male
286,Aleksandr MURYGIN,24 MAR 2000,RUS,918,Javelin Throw,23.0,3rd Class,Male
287,Sota MURAKAMI,31 DEC 2001,JPN,918,Javelin Throw,21.0,3rd Class,Male
288,Bruno SCHÜRCH,30 JAN 1996,SUI,917,Javelin Throw,27.0,3rd Class,Male
289,Vitaly FAVOROV,08 JUN 2002,CRO,917,Javelin Throw,20.0,3rd Class,Male
290,Manuel CASTELLANOS,16 AUG 1996,ESP,916,Javelin Throw,26.0,3rd Class,Male
291,Alexander OTTOSSON,09 MAR 1987,SWE,916,Javelin Throw,36.0,3rd Class,Male
292,Amir PAPAZI,19 DEC 2001,MNE,915,Javelin Throw,21.0,3rd Class,Male
293,Ville MIETTINEN,01 NOV 1996,FIN,915,Javelin Throw,26.0,3rd Class,Male
295,Takehiro KAMIYA,21 AUG 2000,JPN,914,Javelin Throw,22.0,3rd Class,Male
296,Kotaro TSUTSUMI,16 JUN 2001,JPN,914,Javelin Throw,21.0,3rd Class,Male
297,Lars Anthony FLAMING,27 FEB 2003,PAR,912,Javelin Throw,20.0,3rd Class,Male
298,Alexandr ČAČA,14 JUL 2003,CZE,912,Javelin Throw,19.0,3rd Class,Male
299,Xiangyun WANG,08 JUN 2006,CHN,912,Javelin Throw,16.0,3rd Class,Male
