Place,Competitor,DOB,Nat,Score,Event List
46,Emin ÖNCEL,01 MAY 1997,TUR,1111,Javelin Throw
47,Martin KONEČNÝ,20 DEC 1997,CZE,1110,Javelin Throw
48,Max DEHNING,09 SEP 2004,GER,1108,Javelin Throw
49,Keyshawn STRACHAN,18 DEC 2003,BAH,1103,Javelin Throw
50,Kishore JENA,06 SEP 1995,IND,1098,Javelin Throw
51,Arthur W. PETERSEN,18 AUG 1999,DEN,1097,Javelin Throw
52,Maximilian SLEZÁK,02 JUL 1996,SVK,1096,Javelin Throw
53,Denis Adrian BOTH,21 AUG 1997,ROU,1093,Javelin Throw
54,Dagbjartur Dadi JONSSON,13 NOV 1997,ISL,1092,Javelin Throw
55,Norbert RIVASZ-TÓTH,06 MAY 1996,HUN,1092,Javelin Throw
56,Carlos ARMENTA,18 JUL 1990,MEX,1091,Javelin Throw
57,Marcin KRUKOWSKI,14 JUN 1992,POL,1090,Javelin Throw
58,Pavel SASIMOVICH,05 SEP 1999,BLR,1087,Javelin Throw
59,Tatsuya SAKAMOTO,04 MAY 1996,JPN,1087,Javelin Throw
60,Liam O'BRIEN,13 APR 1996,AUS,1085,Javelin Throw
61,Dejan MILEUSNIĆ,16 NOV 1991,BIH,1084,Javelin Throw
62,Billy JULIO LÓPEZ,14 FEB 1996,COL,1084,Javelin Throw
63,Shih-Feng HUANG,02 MAR 1992,TPE,1083,Javelin Throw
64,Ethan SHALAWAY,28 SEP 1994,USA,1082,Javelin Throw
65,Topias LAINE,12 JUL 2001,FIN,1082,Javelin Throw
66,Valery IZOTAU,12 APR 1997,BLR,1081,Javelin Throw
67,Teo TAKALA,06 JUN 1994,FIN,1080,Javelin Throw
68,Janne LÄSPÄ,02 APR 2002,FIN,1080,Javelin Throw
69,Tzuriel PEDIGO,09 JAN 2000,USA,1079,Javelin Throw
70,Maurice VOIGT,08 SEP 2000,GER,1074,Javelin Throw
71,Hamish PEACOCK,15 OCT 1990,AUS,1073,Javelin Throw
72,Taneli JUUTINEN,25 OCT 1994,FIN,1069,Javelin Throw
73,Nikolay ORLOV,07 JAN 1999,RUS,1068,Javelin Throw
74,Abhishek DRALL,11 MAY 1998,IND,1067,Javelin Throw
75,Rikinari ISHIZAKA,02 MAY 1997,JPN,1066,Javelin Throw
76,Rin SUZUKI,13 DEC 2002,JPN,1065,Javelin Throw
77,Elvis GRAHAM,03 OCT 1996,JAM,1064,Javelin Throw
78,Heqing NIU,16 APR 1997,CHN,1063,Javelin Throw
79,Arley IBARGUEN,17 OCT 1982,COL,1061,Javelin Throw
80,Haoran HU,28 SEP 1998,CHN,1061,Javelin Throw
81,Dmitriy TARABIN,29 OCT 1991,RUS,1060,Javelin Throw
82,Nicolas QUIJERA,24 JUN 1996,ESP,1056,Javelin Throw
83,Johan GROBLER,06 AUG 1997,RSA,1056,Javelin Throw
84,Alex Toroitich KIPROTICH,10 OCT 1994,KEN,1056,Javelin Throw
85,Howard MCDONALD,23 AUG 2001,AUS,1055,Javelin Throw
86,Ali Fathi GANJI,21 APR 2001,IRI,1055,Javelin Throw
87,Abhishek SINGH,20 MAY 1995,IND,1051,Javelin Throw
88,Roberto ORLANDO,05 AUG 1995,ITA,1051,Javelin Throw
89,Dawid WEGNER,23 APR 2000,POL,1050,Javelin Throw
90,György HERCZEG,08 AUG 2004,HUN,1049,Javelin Throw
91,Cong WANG,30 JAN 2001,CHN,1048,Javelin Throw
92,Rémi CONROY,17 JUN 1998,FRA,1048,Javelin Throw
93,Aliaksandr KAZLOUSKI,06 FEB 1995,BLR,1044,Javelin Throw
94,Thomas VAN OPHEM,06 SEP 1992,NED,1042,Javelin Throw
95,Jakub KUBÍNEC,18 MAY 1998,SVK,1042,Javelin Throw
96,James WHITEAKER,08 OCT 1998,GBR,1041,Javelin Throw
97,Dimitris TSITSOS,27 SEP 2000,GRE,1039,Javelin Throw
98,Antonio Gabriel ORTIZ CAÑETE,03 SEP 2001,PAR,1038,Javelin Throw
99,Masataka YOKOBORI,25 SEP 1997,JPN,1037,Javelin Throw
100,Arshdeep SINGH,05 APR 1999,IND,1036,Javelin Throw
101,Noel KOVÁCS,22 NOV 1999,HUN,1035,Javelin Throw
102,Filip DOMINKOVIĆ,18 FEB 2002,SLO,1035,Javelin Throw
103,Eryk KOŁODZIEJCZAK,04 FEB 2002,POL,1033,Javelin Throw
104,Tom MEIER,12 MAY 1997,GER,1033,Javelin Throw
105,Teura'itera'i TUPAIA,06 FEB 2000,FRA,1033,Javelin Throw
106,Giovanni DIAZ,23 MAR 1994,PAR,1032,Javelin Throw
107,Lukas MOUTARDE,01 APR 1998,FRA,1031,Javelin Throw
108,Niklas SAGAWE,16 APR 2000,GER,1028,Javelin Throw
109,Nico RENSMANN,09 OCT 1996,GER,1027,Javelin Throw
110,Sumedha RANASINGHE,10 FEB 1991,SRI,1025,Javelin Throw
111,Martin FLORIAN,20 DEC 2001,CZE,1025,Javelin Throw
112,Vedran SAMAC,22 JAN 1990,SRB,1024,Javelin Throw
113,Daniel BAINBRIDGE,02 JUN 1999,GBR,1023,Javelin Throw
114,Haruka HIGA,31 AUG 1998,JPN,1022,Javelin Throw
115,Mustafa Mahmoud ABDEL KHALIQ,22 SEP 2001,EGY,1021,Javelin Throw
116,Sahil SILWAL,17 DEC 2000,IND,1017,Javelin Throw
117,Tae-poong NAM,11 SEP 1997,KOR,1014,Javelin Throw
118,Roberto BERTOLINI,09 OCT 1985,ITA,1013,Javelin Throw
119,Tino MÄKELÄ,31 JUL 1999,FIN,1013,Javelin Throw
120,Rishab NEHRA,10 DEC 1999,IND,1012,Javelin Throw
121,Brett THOMPSON,06 FEB 1997,USA,1012,Javelin Throw
122,Teemu NARVI,02 JUL 2000,FIN,1011,Javelin Throw
123,Lassi YLI-KOTILA,01 JUN 1999,FIN,1011,Javelin Throw
124,Mateusz KWAŚNIEWSKI,16 JUL 1995,POL,1008,Javelin Throw
125,Tatsuki MINAMI,18 JUN 2000,JPN,1007,Javelin Throw
126,Junzi CAO,13 MAR 2003,CHN,1007,Javelin Throw
127,Jean Marcos MAIRONGO,02 FEB 2001,ECU,1006,Javelin Throw
128,Uttam PATIL,01 NOV 1994,IND,1006,Javelin Throw
129,Lenny BRISSEAULT,02 SEP 2002,FRA,1006,Javelin Throw
130,Younes YOUSEFVAND,21 APR 1987,IRI,1005,Javelin Throw
131,Linus LIMMER,11 MAY 2000,GER,1005,Javelin Throw
132,Benjamin EAST,19 NOV 2003,GBR,1004,Javelin Throw
133,Da-ni KIM,28 JUN 1999,KOR,1004,Javelin Throw
134,Maged Mohsen ALBADRY,29 SEP 1995,EGY,1002,Javelin Throw
135,Xiaobo WANG,18 FEB 2005,CHN,1002,Javelin Throw
136,Máté JÁRVÁS,31 JAN 2001,HUN,1000,Javelin Throw
137,Rafael LAUTARO,11 MAR 2002,URU,998,Javelin Throw
138,Michele FINA,09 SEP 2002,ITA,998,Javelin Throw
139,Jaakko HAUTA-AHO,10 JAN 1997,FIN,998,Javelin Throw
140,Qingshu SONG,23 DEC 2000,CHN,997,Javelin Throw
141,Jarmo MARTTILA,24 OCT 1992,FIN,996,Javelin Throw
142,Francisco MUSE,09 APR 1996,CHI,995,Javelin Throw
143,Longyu GAO,29 JAN 2000,CHN,995,Javelin Throw
144,Cedric SORGELOOS,14 APR 2000,BEL,994,Javelin Throw
145,Ryusei NAKAMURA,20 FEB 2003,JPN,994,Javelin Throw
146,Luis Mario TARACENA,03 OCT 1989,GUA,992,Javelin Throw
147,Ilírio NAZARÉ,16 APR 2000,POR,992,Javelin Throw
148,Mingyang CUI,02 OCT 2002,CHN,990,Javelin Throw
149,Pablo COSTAS,10 MAY 2001,ESP,990,Javelin Throw
150,Spyros SAVVA,24 JAN 2000,CYP,988,Javelin Throw
151,José ESCOBAR,21 AUG 1991,ECU,987,Javelin Throw
152,Joe HARRIS,23 MAY 1997,GBR,987,Javelin Throw
153,Mathys MOUTARDE,28 AUG 2003,FRA,987,Javelin Throw
154,Tom EGBERS,11 NOV 1999,NED,986,Javelin Throw
155,Ayumu ISHIYAMA,02 JUN 1996,JPN,984,Javelin Throw
156,Won-kil PARK,24 FEB 1990,KOR,982,Javelin Throw
157,Yugo MASUDA,18 APR 1998,JPN,982,Javelin Throw
158,Hayato YAMADA,05 DEC 2002,JPN,982,Javelin Throw
159,Kunnar Erich VIISEL,06 OCT 1999,EST,980,Javelin Throw
160,Timothe CHAUVIN,28 FEB 2000,FRA,979,Javelin Throw
161,Joni KAARTINEN,04 OCT 1989,SWE,978,Javelin Throw
162,Eric FRANK,29 JAN 2002,GER,978,Javelin Throw
163,Jānis Svens GRĪVA,23 APR 1993,LAT,978,Javelin Throw
164,Tomas SABAŠINSKAS,15 MAR 2000,LTU,977,Javelin Throw
165,Ahmed Sameh MOHAMED HUSSEIN,10 JAN 2003,EGY,977,Javelin Throw
166,Yongkun LIU,30 DEC 2002,CHN,976,Javelin Throw
167,Chao-Hung HUANG,25 SEP 2006,TPE,976,Javelin Throw
168,Matija KRANJC,12 JUN 1984,SLO,974,Javelin Throw
169,Esa HILTUNEN,25 DEC 1996,SWE,974,Javelin Throw
170,Giovanni BELLINI,25 JAN 1996,ITA,973,Javelin Throw
171,Ty HAMPTON,,USA,973,Javelin Throw
172,Jonathan CEDEÑO,26 AUG 1995,PAN,973,Javelin Throw
173,Riki HANADA,08 SEP 2002,JPN,973,Javelin Throw
174,Evan NIEDROWSKI,07 MAR 2003,USA,973,Javelin Throw
175,Laurent CARRON,26 MAY 1994,SUI,972,Javelin Throw
176,Ivan Jose SIBAJA,20 MAY 2000,CRC,972,Javelin Throw
177,Joshua MATHER,1999,CAN,972,Javelin Throw
178,Florian ZIMMERMANN,13 JUN 2001,GER,972,Javelin Throw
179,Jakob RAHM,20 JUL 2002,SWE,972,Javelin Throw
180,Ryosuke KAMEI,29 APR 1997,JPN,971,Javelin Throw
181,Jonáš FIEDLER,07 MAR 2001,CZE,970,Javelin Throw
182,Zhekai LIU,18 AUG 2000,CHN,969,Javelin Throw
183,Eetu PELTOKANGAS,21 FEB 2001,FIN,969,Javelin Throw
184,Jakob NAUCK,13 NOV 1999,GER,969,Javelin Throw
185,Anže DURJAVA,24 JAN 2001,SLO,969,Javelin Throw
186,Wiktor MERTKA,07 SEP 1997,POL,968,Javelin Throw
187,Moritz MORSTEIN,28 JAN 2003,GER,968,Javelin Throw
188,Rumesh Tharanga PATHIRAGE,21 MAR 2003,SRI,967,Javelin Throw
189,Hayato TANIGAWA,28 SEP 2001,JPN,967,Javelin Throw
190,Yarovis Ernesto CONTRERAS,25 AUG 2000,CUB,967,Javelin Throw
191,Onni RUOKANGAS,13 SEP 2003,FIN,966,Javelin Throw
192,Ondřej KŘÍŽ,15 JAN 2004,CZE,966,Javelin Throw
193,Michael ALLISON,17 MAY 2004,GBR,965,Javelin Throw
194,Lars TIMMERMAN-JETTEN,19 APR 1991,NED,964,Javelin Throw
195,Braden PRESSER,,USA,964,Javelin Throw
196,Jakob ERIKSSON,10 JUN 1998,SWE,964,Javelin Throw
197,Bruno RODRIGUES DE FARIA,26 JAN 1996,BRA,963,Javelin Throw
198,Casimir MATTERNE,03 JUL 1999,GER,961,Javelin Throw
199,Simone COMINI,30 AUG 1998,ITA,960,Javelin Throw
200,Jared O'RILEY,2000,CAN,960,Javelin Throw
201,George Catalin ZAHARIA,03 AUG 1995,ROU,959,Javelin Throw
202,Naoyuki KAKUTA,13 APR 1994,JPN,958,Javelin Throw
203,Scott CAMPBELL,,USA,958,Javelin Throw
204,Pavel KUVYRSHIN,09 JUL 1998,RUS,958,Javelin Throw
205,Franck DI SANZA,29 MAR 2000,SUI,957,Javelin Throw
206,Gregory CAMUS,11 FEB 1985,FRA,956,Javelin Throw
207,Chandler AULT,2000,USA,956,Javelin Throw
208,Matīss VELPS,09 JUL 1999,LAT,955,Javelin Throw
209,Andy WHITE,06 DEC 1989,CAN,954,Javelin Throw
210,Paolo PUPPO,15 NOV 2002,ITA,954,Javelin Throw
211,Conor CUSACK,10 MAR 2002,IRL,953,Javelin Throw
212,Jiarui ZHANG,18 AUG 1999,CHN,953,Javelin Throw
213,Ondrej BARTOŇ,19 MAR 1993,SVK,953,Javelin Throw
214,Kazunori YAGI,31 JAN 1994,JPN,952,Javelin Throw
215,Rodri IGLESIAS GONZALEZ,19 APR 1997,ESP,952,Javelin Throw
216,Marten GASPARINI,,ITA,951,Javelin Throw
217,Benjamin PEARSON,23 MAY 1994,GBR,951,Javelin Throw
218,Ikkei YOSHINO,14 MAR 2003,JPN,950,Javelin Throw
219,Benji PHILLIPS,,USA,950,Javelin Throw
220,Arno MARKOVIĆ,28 AUG 1999,CRO,948,Javelin Throw
221,Hercules VAN VUUREN,15 APR 1998,RSA,947,Javelin Throw
222,Nick THUMM,19 OCT 2004,GER,947,Javelin Throw
223,Sami REUNANEN,19 JAN 1998,FIN,946,Javelin Throw
224,Kristian LAZZARETTO,22 MAR 2003,ITA,946,Javelin Throw
225,Erik HUIJING,22 SEP 1995,NED,946,Javelin Throw
226,Oğuzhan USTA,15 SEP 2002,TUR,945,Javelin Throw
227,Devon SPENCER,1994,JAM,945,Javelin Throw
228,Tsung-Lun WU,14 DEC 2000,TPE,945,Javelin Throw
229,Orlando THOMAS,13 JAN 1995,JAM,945,Javelin Throw
230,Austin PARSONS,,USA,945,Javelin Throw
231,Antoine OMOBONI,25 OCT 2001,FRA,945,Javelin Throw
232,Oliver BLACKBURN,19 JUL 2002,AUS,945,Javelin Throw
233,Thomas KNOOP,10 SEP 2002,NED,944,Javelin Throw
234,Minghao CUI,04 DEC 2004,CHN,944,Javelin Throw
235,Dereck OTERO,16 JAN 2000,PUR,943,Javelin Throw
236,Alex SÁNCHEZ,13 OCT 1993,ESP,943,Javelin Throw
237,Denis CANEPA,03 MAY 1993,ITA,943,Javelin Throw
238,Huashuo SUN,16 DEC 2004,CHN,943,Javelin Throw
239,Kento INOUE,15 SEP 2003,JPN,942,Javelin Throw
240,Örn DAVIDSSON,17 MAR 1990,ISL,942,Javelin Throw
241,Robin RIEß,27 JUL 2001,GER,941,Javelin Throw
242,Theodor THOR,07 OCT 1993,SWE,941,Javelin Throw
243,Woo-jin CHOI,02 FEB 2004,KOR,940,Javelin Throw
244,Roan ALLEN,1998,CAN,940,Javelin Throw
245,Callum TAYLOR,29 JUN 2004,GBR,940,Javelin Throw
246,Julian FUNDEL,17 MAR 2000,GER,940,Javelin Throw
247,Kohei HASEGAWA,01 JAN 1990,JPN,940,Javelin Throw
248,Luke JACKSON,2001,USA,939,Javelin Throw
249,Mykola KALYUSH,12 AUG 1987,UKR,937,Javelin Throw
250,Yudai SUTO,23 MAR 2004,JPN,937,Javelin Throw
251,Maksim GAVRILOV,19 SEP 2003,RUS,936,Javelin Throw
252,Greg MILLAR,19 DEC 1992,GBR,935,Javelin Throw
253,Jeroen MAAS,10 JAN 2001,NED,934,Javelin Throw
254,Iee-tae KIM,06 OCT 2004,KOR,934,Javelin Throw
255,Yuma SAKURAI,16 NOV 2000,JPN,934,Javelin Throw
256,Georgios CHRISTAKAKOS,26 JUN 1998,GRE,933,Javelin Throw
257,Clewerton Ruan DE SOUZA,22 MAY 1992,BRA,933,Javelin Throw
258,James MCNANEY,,USA,933,Javelin Throw
259,Sebastian R. SUURBALLE,08 JAN 2002,DEN,932,Javelin Throw
260,Tatsuya ITO,18 SEP 2001,JPN,932,Javelin Throw
261,Yuriy KUSHNIRUK,06 DEC 1994,UKR,931,Javelin Throw
262,William TORRES,29 JAN 2000,ECU,931,Javelin Throw
263,Armand WILLEMSE,18 MAR 2004,RSA,931,Javelin Throw
264,Dmytro SHEREMET,19 NOV 1992,UKR,930,Javelin Throw
265,Ergo TAMM,31 JAN 1992,EST,929,Javelin Throw
266,Gabriel KOLETSI,29 DEC 2003,GRE,929,Javelin Throw
267,Roman MITCHELL,16 SEP 2000,USA,928,Javelin Throw
268,Charlie EVANS,28 SEP 2004,GBR,928,Javelin Throw
269,Jack GREAVES,30 DEC 2004,AUS,927,Javelin Throw
270,Vojtěch KOZÁK,23 NOV 1992,CZE,927,Javelin Throw
271,Kevin BARTOSH,,USA,927,Javelin Throw
272,Travis CUDJOE,05 JAN 2000,FRA,926,Javelin Throw
273,Nikita NASSONOV,21 JUN 2000,RUS,926,Javelin Throw
274,Garreth CRAWFORD,06 JUN 1999,IRL,926,Javelin Throw
275,Wojciech SUMINSKI,14 JAN 1994,POL,925,Javelin Throw
276,Sebastian THÖRNGREN,13 JUL 1993,SWE,924,Javelin Throw
277,Pan JIANG,15 MAY 2001,CHN,924,Javelin Throw
278,Simon SCHMITT,13 DEC 2004,GER,923,Javelin Throw
279,Aku PARVIAINEN,24 JUL 2003,FIN,922,Javelin Throw
280,Jan VÝŠKA,2004,CZE,922,Javelin Throw
281,Shoma FUJIWARA,30 JAN 2003,JPN,922,Javelin Throw
282,Jakob EBERLER,12 JAN 2003,GER,921,Javelin Throw
283,Johandre PIENAAR,12 JAN 2005,RSA,921,Javelin Throw
284,Keigo MIZUOCHI,28 FEB 2002,JPN,920,Javelin Throw
285,Chris BARETT,,USA,919,Javelin Throw
286,Aleksandr MURYGIN,24 MAR 2000,RUS,918,Javelin Throw
287,Sota MURAKAMI,31 DEC 2001,JPN,918,Javelin Throw
288,Bruno SCHÜRCH,30 JAN 1996,SUI,917,Javelin Throw
289,Vitaly FAVOROV,08 JUN 2002,CRO,917,Javelin Throw
290,Manuel CASTELLANOS,16 AUG 1996,ESP,916,Javelin Throw
291,Alexander OTTOSSON,09 MAR 1987,SWE,916,Javelin Throw
292,Amir PAPAZI,19 DEC 2001,MNE,915,Javelin Throw
293,Ville MIETTINEN,01 NOV 1996,FIN,915,Javelin Throw
294,Matt KRAFT,,USA,914,Javelin Throw
295,Takehiro KAMIYA,21 AUG 2000,JPN,914,Javelin Throw
296,Kotaro TSUTSUMI,16 JUN 2001,JPN,914,Javelin Throw
297,Lars Anthony FLAMING,27 FEB 2003,PAR,912,Javelin Throw
298,Alexandr ČAČA,14 JUL 2003,CZE,912,Javelin Throw
299,Xiangyun WANG,08 JUN 2006,CHN,912,Javelin Throw
300,Matteo MASETTI,06 SEP 1996,ITA,911,Javelin Throw
301,Abel ALMEIDA,16 AUG 2002,CUB,911,Javelin Throw
302,Collin BURKHART,26 MAY 2003,USA,910,Javelin Throw
303,Petr HRON,01 MAR 2002,CZE,910,Javelin Throw
304,Filip KAPLAN,17 JAN 2001,CZE,910,Javelin Throw
305,Juan ORTEGA,,PUR,908,Javelin Throw
306,Douw BOTES,,NZL,907,Javelin Throw
307,Tzu-Yuan WANG,14 DEC 2004,TPE,907,Javelin Throw
308,Suguru FUKUOKA,30 APR 2000,JPN,904,Javelin Throw
309,Simone CUCINIELLO,09 MAY 2003,ITA,904,Javelin Throw
310,Remi ROUGETET,08 DEC 2001,FRA,904,Javelin Throw
311,Jun-seok JEONG,07 MAR 2005,KOR,903,Javelin Throw
312,Mostafa Nik KHAH,08 NOV 1990,IRI,903,Javelin Throw
313,Marius RUDZEVIČIUS,12 MAR 2003,LTU,903,Javelin Throw
314,Nickolas COFFEY,01 JAN 2002,USA,901,Javelin Throw
315,Trevor HOOK,,USA,901,Javelin Throw
316,Lorenzo BRUSCHI,23 AUG 1998,ITA,901,Javelin Throw
317,Leon MENTEN,26 APR 2003,BEL,901,Javelin Throw
318,Ryan MITCHELL,29 JUN 2003,AUS,900,Javelin Throw
319,Erik TYLER,2000,CAN,899,Javelin Throw
320,Artis ČAKŠS,25 JAN 2002,LAT,899,Javelin Throw
321,Kaito MAKINO,03 FEB 2000,JPN,899,Javelin Throw
322,Jordi SANCHEZ FERNANDEZ,09 AUG 1985,ESP,899,Javelin Throw
323,Nathan PROUST,10 JUN 2004,FRA,899,Javelin Throw
324,Reno YUKAWA,08 JUL 2003,JPN,898,Javelin Throw
325,Haddi EL SHORBAGY,18 AUG 2004,AUS,898,Javelin Throw
326,Joonas OKSANEN,17 JAN 1995,FIN,898,Javelin Throw
327,Jiankuan MA,20 NOV 2004,CHN,898,Javelin Throw
328,Aryan PADARUTH,09 OCT 2004,GBR,898,Javelin Throw
329,Gašper JUHART,2002,SLO,898,Javelin Throw
330,Jonas DE BUSSCHER,18 AUG 1996,BEL,896,Javelin Throw
331,Jackson RIMES,,USA,896,Javelin Throw
332,Jonasz MERTKA,29 MAY 1999,POL,895,Javelin Throw
333,Kosei ASADA,05 OCT 2002,JPN,895,Javelin Throw
334,Ping-Shen WU,12 OCT 2004,TPE,895,Javelin Throw
335,Jyunya MURAYAMA,16 OCT 2001,JPN,895,Javelin Throw
336,Muhammet RAŞIT,18 MAR 2002,TUR,894,Javelin Throw
337,Finn ANTELMANN,21 JAN 2003,SUI,893,Javelin Throw
338,Takaaki SAKAKIMA,15 JAN 1999,JPN,892,Javelin Throw
339,Tomoaki MORIKI,20 NOV 2000,JPN,891,Javelin Throw
340,Zaavan RICHARDS,21 APR 1995,JAM,891,Javelin Throw
341,Genki HIROTA,14 NOV 2000,JPN,891,Javelin Throw
342,Quentin STOUPY,02 DEC 1999,FRA,891,Javelin Throw
343,Vili VALTONEN,13 NOV 2000,FIN,891,Javelin Throw
344,Jie ZHANG,20 JAN 2004,CHN,891,Javelin Throw
345,Jinto DEJI,04 OCT 2003,JPN,891,Javelin Throw
346,Donny TUIMASEVE,17 APR 1999,SAM,890,Javelin Throw
347,Se-heyom KANG,16 JUL 1999,KOR,890,Javelin Throw
348,Hiroto TANIGUCHI,19 OCT 2005,JPN,890,Javelin Throw
349,Hector ARAGUES,04 JAN 1995,ESP,890,Javelin Throw
350,Tadashi NAKAMATSU,08 MAY 2002,JPN,889,Javelin Throw
351,Matthias LASCH,07 SEP 2004,AUT,887,Javelin Throw
352,Masato KODAIRA,27 OCT 2003,JPN,886,Javelin Throw
353,Lauri WUORENRINNE,08 APR 2003,FIN,886,Javelin Throw
354,Jose SANTANA,25 FEB 2003,PUR,886,Javelin Throw
355,Yusaku IWAO,12 APR 2002,JPN,885,Javelin Throw
356,Christopher ARIAS,,USA,885,Javelin Throw
357,Francisco FERNANDES,01 JUN 1996,POR,885,Javelin Throw
358,Leevi LINDI,11 DEC 1998,FIN,885,Javelin Throw
359,Yuhei MURASAWA,30 APR 1996,JPN,884,Javelin Throw
360,Mutsuki NAKAYAMA,29 JUN 1994,JPN,883,Javelin Throw
361,Gavin JOHNSON-ASSOON,19 DEC 1982,GBR,883,Javelin Throw
362,Mael DILASSER,23 SEP 2004,FRA,883,Javelin Throw
363,Lorenzo BERTOCCHI,02 AUG 2001,ITA,882,Javelin Throw
364,Nikola ROSIĆ,04 JUN 2002,SRB,882,Javelin Throw
365,Jonathan BELL,20 NOV 2000,AUS,882,Javelin Throw
366,Koki TSUKAZAKI,13 DEC 2001,JPN,881,Javelin Throw
367,Samarjeet SINGH,07 NOV 1988,IND,881,Javelin Throw
368,Chase TARR,07 MAY 1999,USA,881,Javelin Throw
369,Sota TAKEMURA,09 JUN 2003,JPN,881,Javelin Throw
370,Shogo NAKAO,29 JAN 1993,JPN,881,Javelin Throw
371,Adam WIENER,21 JUL 2000,AUT,880,Javelin Throw
372,Noah BIRK MEISSNER,2003,DEN,878,Javelin Throw
373,Albert OTTANDER,01 JAN 2000,SWE,878,Javelin Throw
374,Garrett WADE,,USA,877,Javelin Throw
375,Tom BICHSEL,2001,GER,877,Javelin Throw
376,Peter BRINTON-QUINN,,GBR,876,Javelin Throw
377,Hyoma TOMONO,19 JUN 2000,JPN,876,Javelin Throw
378,Krešimir GALIĆ,02 JUN 2003,CRO,876,Javelin Throw
379,Daniel THRANA,17 OCT 2002,NOR,875,Javelin Throw
380,Atsuto KAWACHI,01 MAR 1999,JPN,874,Javelin Throw
381,Christian PAYNTER,23 APR 1997,AUS,874,Javelin Throw
382,Olle HÜBERT,22 MAY 2003,SWE,873,Javelin Throw
383,Ariel ATIAS,09 MAY 1999,ISR,873,Javelin Throw
384,Joss FOOT,22 FEB 2000,GBR,873,Javelin Throw
385,Koki HISADA,29 MAY 2000,JPN,872,Javelin Throw
386,Baolong HUO,03 DEC 2001,CHN,872,Javelin Throw
387,Máté ADAME,09 AUG 1994,HUN,872,Javelin Throw
388,Nabil AL-AKOUMI,1996,LBN,871,Javelin Throw
389,Cameron THOMAS,2003,GRN,871,Javelin Throw
390,Marcus HENRIKSEN,07 NOV 2002,NOR,871,Javelin Throw
