Place,Competitor,DOB,Nat,Score,Event List
121,Orie USHIRO,24 AUG 1990,JPN,966,Javelin Throw
122,Akiho HYODO,29 OCT 1999,JPN,965,Javelin Throw
123,Mackenzie MIELCZAREK,06 FEB 2003,AUS,965,Javelin Throw
124,Patricia MADL,14 FEB 1999,AUT,965,Javelin Throw
125,Evelina MENDES,02 JAN 1998,FRA,962,Javelin Throw
126,Margaux NICOLLIN,01 MAY 1995,FRA,961,Javelin Throw
127,Nana TAKAHASHI,15 APR 2001,JPN,959,Javelin Throw
128,Yu GONG,22 JUL 2003,CHN,957,Javelin Throw
129,Leonie TRÖGER,22 DEC 2000,GER,957,Javelin Throw
130,Viktoriya CHERVYAKOVA,08 MAR 2002,RUS,956,Javelin Throw
131,Jess BELL,13 JAN 2000,AUS,954,Javelin Throw
132,Mirta KULIŠIĆ,21 MAY 2000,CRO,953,Javelin Throw
133,Dana BAKER,07 OCT 1999,USA,952,Javelin Throw
134,Ashley CARTER,,USA,949,Javelin Throw
135,Megan ALBAMONTI,10 MAY 2001,USA,948,Javelin Throw
136,Thais Alves DE AGUIAR,05 DEC 1994,BRA,947,Javelin Throw
137,Chao-Chi SU,10 SEP 2000,TPE,947,Javelin Throw
138,Ivana KOKTAVÁ,29 JUN 2001,CZE,945,Javelin Throw
139,Arianne DUARTE MORAIS,23 MAY 1999,NOR,944,Javelin Throw
140,Chih-Jen LIU,13 DEC 2003,TPE,944,Javelin Throw
141,Caroline NÄSLUND,23 JAN 1998,SWE,943,Javelin Throw
142,Nina RMAN,15 JUL 2001,SLO,941,Javelin Throw
143,Josefa SCHEPP,18 FEB 2003,GER,939,Javelin Throw
144,Rei NAKAMURA,09 JAN 2003,JPN,938,Javelin Throw
145,Kana SHINODA,05 OCT 2002,JPN,937,Javelin Throw
146,Yuika NAKAMURA,20 FEB 2001,JPN,937,Javelin Throw
147,Géraldine RUCKSTUHL,24 FEB 1998,SUI,936,Javelin Throw
148,Yun MO,14 MAY 2003,CHN,936,Javelin Throw
149,Maria Børstad JENSEN,12 DEC 1994,NOR,935,Javelin Throw
150,Annabella BOGDÁN,07 APR 1992,HUN,932,Javelin Throw
151,Alyssa JOHN,11 MAY 2003,GER,932,Javelin Throw
152,Nao KAWATA,17 MAY 2000,JPN,932,Javelin Throw
153,Zhuoma RENQING,09 JUN 1999,CHN,931,Javelin Throw
154,Beatrice LANTZ,22 OCT 1997,SWE,930,Javelin Throw
155,Ioana Valentina PLAVAN,16 JUL 1998,ROU,929,Javelin Throw
156,Noemi LUYER,20 SEP 2000,AUT,929,Javelin Throw
157,Ka-hui LEE,28 JUL 1998,KOR,929,Javelin Throw
158,Kate JOYCE,,USA,928,Javelin Throw
159,Lilly URBAN,10 MAY 2002,GER,928,Javelin Throw
160,Alina SHUKH,12 FEB 1999,UKR,927,Javelin Throw
161,Christina LAHRS,08 JAN 2004,GER,927,Javelin Throw
162,Vivian SUOMINEN,17 SEP 2003,FIN,927,Javelin Throw
163,Emma HAMPLETT,27 JUL 1998,GBR,927,Javelin Throw
164,Emily DIBBLE,17 SEP 1999,GBR,926,Javelin Throw
165,Ah-young PARK,05 OCT 2000,KOR,923,Javelin Throw
166,Sanija OZOLIŅA,07 DEC 2003,LAT,923,Javelin Throw
167,Bailey DELL,07 OCT 1996,CAN,923,Javelin Throw
168,Stefani Beatriz NAVARRO DA SILVA,16 MAR 2003,BRA,922,Javelin Throw
169,Marianaily SILVA,18 DEC 2002,CUB,921,Javelin Throw
170,Katrina BLACKETT,08 JUN 1995,AUS,921,Javelin Throw
171,Mikako YAMASHITA,03 MAY 1997,JPN,921,Javelin Throw
172,Sharmila KUMARI,02 MAR 1995,IND,920,Javelin Throw
173,Luisa TREMEL,11 SEP 2002,GER,918,Javelin Throw
174,Chloé SERVANT,15 MAY 1999,FRA,917,Javelin Throw
175,Dewi LAFONTAINE,08 JAN 1999,NED,916,Javelin Throw
176,Natalia MADRZEJWSKA,12 APR 2002,POL,915,Javelin Throw
177,Iori HIRAMATSU,06 APR 2002,JPN,912,Javelin Throw
178,Mia GORDON,23 OCT 2002,AUS,912,Javelin Throw
179,Atina KAMASI,30 OCT 1997,SRB,910,Javelin Throw
180,Laura Melissa PAREDES MEZA,30 AUG 1996,PAR,909,Javelin Throw
181,Salumi ROBBERTS,04 AUG 2002,AUS,909,Javelin Throw
182,Clarissa WEYER,03 DEC 2001,RSA,909,Javelin Throw
183,Jade MARAVAL,06 JUN 2002,FRA,908,Javelin Throw
184,Aleksandra PEROVA,10 DEC 2002,RUS,907,Javelin Throw
185,Ashley PRYKE,07 JUL 1997,CAN,907,Javelin Throw
186,Pin-Hsun CHU,08 APR 2005,TPE,906,Javelin Throw
187,Carmen SÁNCHEZ,29 FEB 1992,ESP,906,Javelin Throw
188,Yuri TANAKA,15 NOV 2001,JPN,905,Javelin Throw
189,Minna HOLLANTI,06 FEB 2001,FIN,905,Javelin Throw
190,Karolina BOŁDYSZ,21 APR 1993,POL,904,Javelin Throw
191,Siiri ELOMAA,19 SEP 2003,FIN,904,Javelin Throw
192,Pauline SMAL,29 MAR 1998,BEL,903,Javelin Throw
193,Ritsuko HORIUCHI,28 APR 2002,JPN,903,Javelin Throw
194,Noémie PLEIMLING,27 AUG 1993,LUX,902,Javelin Throw
195,Ivana DJURIĆ,26 AUG 2001,SRB,902,Javelin Throw
196,Bianca SALMING,22 NOV 1998,SWE,901,Javelin Throw
197,Minka NURRO,07 DEC 1999,FIN,901,Javelin Throw
198,Harriette MORTLOCK,27 NOV 2003,GBR,900,Javelin Throw
199,Enya CARRETERO,09 SEP 1992,ESP,897,Javelin Throw
200,Anna MAKAI,08 MAR 2004,HUN,896,Javelin Throw
201,Jelena JAAKKOLA,07 MAR 1989,FIN,896,Javelin Throw
202,Noa SAITO,29 MAY 2003,JPN,896,Javelin Throw
203,Anna ADYSEVA,28 JUL 1998,RUS,894,Javelin Throw
204,Chiara-Belinda SCHULER,02 JUN 2001,AUT,894,Javelin Throw
205,Noah VERDUIN,18 JUN 2003,NED,892,Javelin Throw
206,Natsumi TERADA,25 MAY 2002,JPN,891,Javelin Throw
207,Danien TEN BERGE,28 DEC 1992,NED,890,Javelin Throw
208,Laura PESOLA,12 MAY 1996,FIN,890,Javelin Throw
209,Arzu ATLI,13 SEP 2003,TUR,889,Javelin Throw
210,Julia ULBRICHT,28 NOV 2000,GER,887,Javelin Throw
211,Sabrina BOSS,23 MAR 2005,SUI,887,Javelin Throw
212,Hina TSUTSUMI,07 JAN 2005,JPN,886,Javelin Throw
213,Valeriya KUCHINA,12 AUG 1998,RUS,886,Javelin Throw
214,Kathrin WALTER,06 FEB 2000,GER,885,Javelin Throw
215,Ayano MORI,23 MAY 2000,JPN,885,Javelin Throw
216,Laine DONANE,01 OCT 1998,LAT,884,Javelin Throw
217,Fang YANG,22 APR 2004,CHN,883,Javelin Throw
218,Mali Ingeborg VOLLAN MARSTAD,09 DEC 1997,NOR,882,Javelin Throw
219,Adele TONIUTTO,12 JUN 2001,ITA,881,Javelin Throw
220,Erin MCMENIMAN,,USA,879,Javelin Throw
221,Napsugár ESZENYI,11 JAN 2002,HUN,879,Javelin Throw
222,Fanni MÁTÉ,04 AUG 1999,HUN,878,Javelin Throw
223,Andrea ŽELEZNÁ,04 JUL 1993,CZE,878,Javelin Throw
224,Sietske VERKADE,10 NOV 2002,NED,877,Javelin Throw
225,Adéla MÜLLEROVÁ,15 DEC 2004,CZE,877,Javelin Throw
226,Matilda ELFGAARD,11 JUN 1992,SWE,877,Javelin Throw
227,Miyabi SONO,09 APR 2005,JPN,877,Javelin Throw
228,Se-bin LEE,14 APR 2001,KOR,876,Javelin Throw
229,Hailey POOLE,,USA,876,Javelin Throw
230,Saydi ORANGE,,USA,875,Javelin Throw
231,Miu TABATA,17 MAY 2002,JPN,874,Javelin Throw
232,Greene SHEA,,USA,873,Javelin Throw
233,Airi MAEKAWA,28 JUN 2003,JPN,871,Javelin Throw
234,Roosa YLÖNEN,29 APR 1999,FIN,871,Javelin Throw
235,Luisa SINIGAGLIA,27 SEP 1997,ITA,871,Javelin Throw
236,Lauren FARLEY,16 SEP 2001,GBR,870,Javelin Throw
237,Blanka KÁLLAI-KISS,25 MAY 2004,HUN,870,Javelin Throw
238,Amanda OLSSON,03 JUL 2003,SWE,870,Javelin Throw
239,Julia SZAŁAS,24 OCT 1998,POL,868,Javelin Throw
240,Lena MEYER,26 FEB 1999,SUI,868,Javelin Throw
241,Kohana NAKATO,,USA,868,Javelin Throw
242,Marie DEHNING,26 MAY 2003,GER,867,Javelin Throw
243,Karina POLUDKINA,16 SEP 2003,RUS,867,Javelin Throw
244,Callie JONES,26 DEC 1998,USA,866,Javelin Throw
245,Tjara HSU,16 FEB 2002,GER,866,Javelin Throw
246,Ana SOLER,19 OCT 1999,PUR,865,Javelin Throw
247,Heidi NOKELAINEN,30 SEP 1990,FIN,865,Javelin Throw
248,Helmiina KYNNÄS,20 MAY 2004,FIN,865,Javelin Throw
249,Katre Marit LIIV,30 SEP 2002,EST,864,Javelin Throw
250,Shaniya HOLLEY,,USA,862,Javelin Throw
251,Paula RODRIGUEZ,21 JUL 2003,ESP,861,Javelin Throw
252,Julia HARISAY,1998,USA,860,Javelin Throw
253,Laureen THOMAS,01 MAR 2002,FRA,860,Javelin Throw
254,Sophie HAMILTON,06 MAY 2004,GBR,860,Javelin Throw
255,Pálma SÁRI,16 SEP 2002,HUN,859,Javelin Throw
256,Sabrina SCHRÖDER,25 JAN 2000,GER,858,Javelin Throw
257,Joanna BLAIR,01 MAR 1986,GBR,858,Javelin Throw
258,Miran NARAOKA,04 MAR 2001,JPN,858,Javelin Throw
259,Ilhem TAMROUTI,20 DEC 1999,NED,858,Javelin Throw
260,Petra HANULIAKOVÁ,24 JUN 2002,SVK,857,Javelin Throw
261,Mikhaela PETKOVA,11 JAN 1999,BUL,857,Javelin Throw
262,Selma DAVULCU,18 SEP 2003,TUR,857,Javelin Throw
263,Zoe SCHWARTZ,02 OCT 2004,FRA,856,Javelin Throw
264,Mariya MATSUI,17 FEB 1990,JPN,856,Javelin Throw
265,Yin-Hsuan YU,27 NOV 2005,TPE,856,Javelin Throw
266,Ida EIKENG,25 JUN 1999,NOR,855,Javelin Throw
267,Miyabi EGAWA,20 JAN 2003,JPN,855,Javelin Throw
268,Ying WANG,05 JUN 2001,CHN,855,Javelin Throw
269,Lara LATZ,12 OCT 2000,GER,854,Javelin Throw
270,Victoria KRAUSE,10 JUL 2000,GER,854,Javelin Throw
271,Yu UEDA,06 JUN 2005,JPN,853,Javelin Throw
272,Varvara SUDOPLATOVA,15 DEC 2004,RUS,851,Javelin Throw
273,Tomoka YAMAGATA,25 APR 2001,JPN,851,Javelin Throw
274,Aleksandra IVANOVA,13 JUL 1999,RUS,851,Javelin Throw
275,Anisha GIBBONS,25 SEP 2004,GUY,849,Javelin Throw
276,Kayla THORPE,,USA,849,Javelin Throw
277,Paula PIÑON,29 AUG 2003,ESP,849,Javelin Throw
278,Haruna OKADA,09 APR 2003,JPN,849,Javelin Throw
279,Federica DOZIO,22 AUG 2003,ITA,848,Javelin Throw
280,Malia BENSON,,USA,847,Javelin Throw
281,Ayuki NISHINO,26 DEC 2001,JPN,847,Javelin Throw
282,Dominella Johana ARIAS,14 MAY 1994,ARG,847,Javelin Throw
283,Jessica THOMPSON,,USA,845,Javelin Throw
284,Jana STOJIĆ,05 MAY 2003,CRO,842,Javelin Throw
285,Katharina MÜLLER,2001,GER,842,Javelin Throw
286,Jenice KOLLER,10 OCT 2005,SUI,842,Javelin Throw
287,Shelby STAIB,,USA,842,Javelin Throw
288,Fiorella Jazmin VELOSO,21 SEP 2002,PAR,841,Javelin Throw
289,Elisabeth HAFENRICHTER,27 APR 2000,GER,841,Javelin Throw
290,Jane ROOSIMÄGI,18 APR 2004,EST,840,Javelin Throw
291,Jade KWINN,,USA,840,Javelin Throw
292,Margarita TSOUKALA,12 FEB 2001,GRE,840,Javelin Throw
293,Abbey MOODY,18 JAN 2004,NZL,839,Javelin Throw
294,Aina RAMOS,11 JUN 2002,ESP,839,Javelin Throw
295,Madison MCLEAN,2001,CAN,837,Javelin Throw
296,Liv CANTBY,26 NOV 1999,DEN,834,Javelin Throw
297,Aleida MENDES,07 MAY 2001,POR,834,Javelin Throw
298,Yelizaveta POROTIKOVA,20 AUG 2000,RUS,834,Javelin Throw
299,Volha ZHVANKO,11 MAR 2002,BLR,833,Javelin Throw
300,Anjani KUMARI,2000,IND,833,Javelin Throw
301,Zsófi HORVÁTH,16 OCT 2004,HUN,833,Javelin Throw
302,Céline BUCHSER,28 AUG 2004,SUI,833,Javelin Throw
303,Margherita REGONASCHI,19 DEC 2001,ITA,831,Javelin Throw
304,Ana Camila PIRELLI CUBAS,30 JAN 1989,PAR,831,Javelin Throw
305,Fanny BOISSONNARD,08 JAN 2001,FRA,831,Javelin Throw
306,Lili STOYCHEVA,08 JAN 1998,BUL,830,Javelin Throw
307,Angelika ANTONIAK,29 MAY 2000,POL,830,Javelin Throw
308,Sayaka NISHIKAWA,21 NOV 2000,JPN,830,Javelin Throw
309,Paulina LIGARSKA,09 APR 1996,POL,827,Javelin Throw
310,Haruna IRIE,05 MAY 2004,JPN,827,Javelin Throw
311,Riko TERADA,24 AUG 2005,JPN,827,Javelin Throw
312,Camryn NEWTON-SMITH,27 APR 2000,AUS,826,Javelin Throw
313,Areli CARRARO,21 APR 1998,MEX,826,Javelin Throw
314,Erin ZIMMERMAN,,USA,825,Javelin Throw
315,Chako TAKAHASHI,01 APR 2003,JPN,825,Javelin Throw
316,Karin IIDA,13 APR 2004,JPN,825,Javelin Throw
317,Kamilė KUNICKAITĖ,27 MAY 1997,LTU,824,Javelin Throw
318,Ronja KOIVISTO,13 SEP 2000,FIN,823,Javelin Throw
319,Makayla HUNTER,,USA,820,Javelin Throw
320,Eleni DIMA,20 MAR 2003,GRE,820,Javelin Throw
321,Kim Cara BRÜNGER,06 SEP 1998,GER,820,Javelin Throw
322,Elizabeth BAILEY,07 FEB 2003,USA,819,Javelin Throw
323,Kasumi SAKAMOTO,26 APR 2001,JPN,819,Javelin Throw
324,Kokoro KAWAI,25 SEP 2003,JPN,819,Javelin Throw
325,Riko SAKAKIBARA,02 MAY 1998,JPN,819,Javelin Throw
326,Lilly GERHARD,28 MAR 2003,GER,819,Javelin Throw
327,Gianna BOCHSLER,07 JAN 2001,SUI,819,Javelin Throw
328,Venuše ŽITNÁ,07 JUL 1998,CZE,818,Javelin Throw
329,Citli CEJA,30 APR 2001,MEX,816,Javelin Throw
330,Vår Eik LITLAND,21 MAY 2003,NOR,816,Javelin Throw
331,Natsumi NOMA,16 AUG 2002,JPN,816,Javelin Throw
332,Marin BARRAS,,USA,816,Javelin Throw
333,Ella KNOTT,,USA,815,Javelin Throw
334,Nako INUI,17 MAY 2005,JPN,814,Javelin Throw
335,Tamara SUŠA,11 FEB 1999,SRB,812,Javelin Throw
336,Mizuki NAKANO,06 DEC 1998,JPN,812,Javelin Throw
337,Mei NAKAYAMA,10 JUN 2003,JPN,812,Javelin Throw
338,Arndís Diljá ÓSKARSDÓTTIR,24 APR 2004,ISL,812,Javelin Throw
339,Kadi KAART,30 APR 1997,EST,812,Javelin Throw
340,Miia MAKKONEN,25 SEP 1994,FIN,811,Javelin Throw
341,Paulina CAZARES,12 MAR 2003,MEX,811,Javelin Throw
342,Olivia BAUMBERGER,,USA,811,Javelin Throw
343,Yuki YAMASAKI,06 JUN 1995,JPN,810,Javelin Throw
344,Kateřina ŠŤASTNÁ,11 JAN 2001,CZE,808,Javelin Throw
345,Valerie CLARK,,USA,806,Javelin Throw
346,Jenna FLEMING,2001,CAN,806,Javelin Throw
347,Viivi RAATIKAINEN,10 MAY 2003,FIN,805,Javelin Throw
348,Chantelle CHIPPINDALL,17 OCT 2001,AUS,805,Javelin Throw
349,Moa HIGUCHI,06 APR 2003,JPN,805,Javelin Throw
350,Merja PERÄTALO,22 MAR 1996,FIN,803,Javelin Throw
351,Sofia PÖLKKY,19 JAN 2000,FIN,803,Javelin Throw
352,Alex SEAGRIS,2004,CAN,802,Javelin Throw
353,Yelena YERMOLINA,03 FEB 1989,RUS,802,Javelin Throw
354,Korann COLET,2004,FRA,802,Javelin Throw
355,Hana HABALOVÁ,05 MAY 1995,CZE,801,Javelin Throw
356,Iveta MOCHAROVÁ,24 MAY 1998,CZE,800,Javelin Throw
357,Marys A. PATTERSON,16 OCT 2001,CUB,800,Javelin Throw
358,Rino KATO,11 JUN 2002,JPN,800,Javelin Throw
359,Heidi LÄHDEMÄKI,08 JUL 1999,FIN,799,Javelin Throw
360,Giovanna JANES,2000,CAN,798,Javelin Throw
361,Stina JACOBSON,09 MAR 2000,SWE,798,Javelin Throw
362,Julia MAGLIARO,,USA,797,Javelin Throw
363,Eunice KARLSSON,25 JUL 1998,SWE,797,Javelin Throw
364,Madelyn QUINN,2000,CAN,797,Javelin Throw
365,Tilda BERNHULT,07 MAY 2004,SWE,797,"Javelin Throw,Javelin Throw ind."
366,Sharon TOAKO,12 OCT 1992,PNG,797,Javelin Throw
367,Kurumi NAGAI,18 FEB 2001,JPN,797,Javelin Throw
368,Hinata MORI,01 DEC 2005,JPN,796,Javelin Throw
369,Rebecca SIMPSON,,USA,796,Javelin Throw
370,Ami KAMETANI,12 MAY 2003,JPN,795,Javelin Throw
371,Hannah JOHNSON,14 JUN 1994,GBR,794,Javelin Throw
372,Isabel POSCH,28 FEB 2000,AUT,794,Javelin Throw
373,Erin TACK,,USA,794,Javelin Throw
374,Veronique QUEDNAU,18 DEC 2003,GER,794,Javelin Throw
375,Iroha TANIYAMA,26 SEP 2005,JPN,794,Javelin Throw
376,Paula REDONDO,14 OCT 2004,ESP,793,Javelin Throw
377,Fuuna FURUKAWA,12 APR 2004,JPN,793,Javelin Throw
378,Minttu TURUNEN,17 SEP 2004,FIN,793,Javelin Throw
379,Jenna REID,2001,CAN,792,Javelin Throw
380,Saho NARITA,22 SEP 2006,JPN,792,Javelin Throw
381,Marine BAURAIN,01 MAY 1999,FRA,792,Javelin Throw
382,Hemamalini NEELAKANDAN,12 APR 2000,IND,791,Javelin Throw
383,Genet GALLI,19 DEC 2004,ITA,790,Javelin Throw
384,Charlotte COLBERT,,GBR,790,Javelin Throw
385,Laura VAL,13 OCT 2004,GER,789,Javelin Throw
386,Kirsten UMANS,30 AUG 1993,BEL,788,Javelin Throw
387,Alisia Adela PARUBA,08 OCT 2003,ROU,788,Javelin Throw
388,Jenni VUORI,24 JAN 1995,FIN,788,Javelin Throw
389,Karina BELL,17 DEC 2005,AUS,788,Javelin Throw
390,Lauren MCFALL,,USA,788,Javelin Throw
391,Jessie BROWN,,GBR,788,Javelin Throw
392,Sofie HAMMAR,15 FEB 1995,SWE,788,Javelin Throw
393,Laura MARTINEZ,20 MAY 2003,ESP,788,Javelin Throw
